Kind	GroupID	Desc	Priority	Show
MainTask	1	<i18n=8581>	1	1
SubTask	1	<i18n=3350>	2	1
Equip	2	<i18n=4327>	3	1
Honor	2	<i18n=13799>	4	1
FactionBattle	3	<i18n=11205>	5	1
Arena	3	<i18n=12937>	6	1
MultiPvP	3	<i18n=2894>	7	1
ZhaiXingLou	3	<i18n=14857>	8	1
Battle	3	<i18n=宋金战场>	9	1
Tong	4	<i18n=17467>	10	1
MasterPrentice	4	<i18n=11996>	12	1
FriendShip	4	<i18n=9762>	13	1
Contact	4	<i18n=2555>	14	1
AmassFortunes	5	<i18n=5884>	15	1
Achievement	5	<i18n=1235>	16	1
JXOnlineWorld	5	<i18n=2284>	18	1
Fame	5	<i18n=227>	19	1
XOYOGame	6	<i18n=1327>	20	1
XoYoGameRecord	6	<i18n=19722>	21	1
YiJun	6	<i18n=14698>	21	1
JianXiaCiDian	6	<i18n=15602>	22	1
FreightTask	6	<i18n=9796>	23	1
CangBaoTu	6	<i18n=3825>	24	1
GuanFuTOngJi	6	<i18n=1721>	25	1
FieldPractice	6	<i18n=野外修炼>	27	1
FuBen	6	<i18n=4844>	28	1
DomainBattle	7	<i18n=13266>	29	1
BaiHuTang	7	<i18n=13157>	30	1
WuLinGaoShou	7	<i18n=武林高手>	31	1
KinChallenge	7	<i18n=9377>	32	1
KinLevel	7	<i18n=14557>	33	1
TongParty	7	<i18n=13940>	34	1
QinShiHuangLing	7	<i18n=20017>	35	1
HanWu	7	<i18n=1808>	36	1
