nID	szSubKind	nParamOne
1	MainTask	7
2	MainTask	24
3	MainTask	34
3001	MainTask	47
3002	MainTask	59
3003	MainTask	86
3004	MainTask	104
4	SubTask_Finish	-1
5	LifeSkill	-1
6	SpecialtyLifeSkill	-1
7	GainEquip	4
8	GainEquip	6
9	MakeEquipWithLifeSkill	6
10	PutEquipOnAllQuality	2
11	PutEquipOnAllQuality	4
12	PutEquipOnAllQuality	6
13	PutHorseOn	-1
14	MakeQualitySixEquipCostTime	25
22	ActivateHonor	1
23	ActivateHonor	2
24	ActivateHonor	3
25	ActivateHonor	5
26	ActivateHonor	7
27	ActivateHonor	10
28	ActivateHonor	13
29	ActivateHonor	17
30	ActivateHonor	21
31	ActivateHonor	26
32	ActivateHonor	46
3101	ActivateHonor	31
3102	ActivateHonor	36
3103	ActivateHonor	41
33	ShopBuying	399
34	ShopBuying	400
35	ShopBuying	401
36	ShopBuying	402
37	ShopBuying	403
38	ShopBuying	404
39	ShopBuying	405
40	ShopBuying	406
41	ShopBuying	407
42	ShopBuying	408
43	ShopBuying	409
3104	ShopBuying	886
3105	ShopBuying	887
3106	ShopBuying	888
44	FactionBattleCompleted	-1
45	FactionBattleRanking	16
46	FactionBattleRanking	8
47	FactionBattleRanking	4
48	FactionBattleWinner	-1
49	FactionBattleBox	-1
50	DefeatEnemyInArena	-1
51	EnterArena	-1
52	ArenaRanking	500
53	ArenaRanking	300
54	ArenaRanking	100
55	ArenaRanking	10
56	ArenaRanking	1
57	EnterZhaiXingLou	-1
58	ZhaiXingLouSkipMatch	-1
59	EnterZhaiXingLouNextFloor	-1
60	EnterZhaiXingLouFloor	7
61	Battle_JoinCount	-1
62	BattleWin	-1
63	BattleComboKill	10
64	BattleComboKill	20
65	BattleComboKill	50
66	BattleComboKill	100
67	BattleFirst	-1
68	BeTongLeader	-1
69	StandForTongMaster	-1
70	BeTongMaster	-1
71	Kin_JoinKin	-1
72	KinGiftBox	-1
73	KinDonation	-1
74	KinSalary	-1
75	MasterPrenticeRecruit	-1
76	MasterPrenticeGraduate	-1
77	MasterPrenticeGift	-1
78	MasterPrenticeChuanGong	-1
79	MasterPrenticeTask	-1
80	FriendShipNum	-1
81	FriendShipImitityLevel	5
82	FriendShipImitityLevel	10
83	FriendShipImitityLevel	20
84	FriendShipImitityLevel	30
85	FriendShipImitityLevel	40
86	FriendShipGiveAway	1
87	FriendShipGiveAway	99
88	FriendShipBlack	-1
89	KinChuanGong	-1
90	SendPrivateMsg	-1
91	SendEmojiMsg	-1
92	SendVoiceMsg	-1
93	SendWorldMsg	-1
94	SendKinMsg	-1
95	SendTongMsg	-1
96	SendColorMsg	-1
97	QuickMatchTeam	-1
98	ChallengePlayer	-1
99	FinishOneDeal	-1
100	MarketStallBuy	-1
101	MarketStallSell	-1
102	ShakeMoneyInMoneyTree	-1
103	ShakeMoneyTimeMultiple	2
104	ShakeMoneyTimeMultiple	10
105	BuyInAuction	-1
106	Auction_SpendYuanBao	-1
107	SpeedYuanBaoInMarketStall	-1
108	BidOverInAuction	-1
109	AuctionGold	-1
110	BuyMonthOrWeekCard	-1
111	SendRedBag	-1
112	SendMultiTimeRedBag	2
113	SendMultiTimeRedBag	3
114	SendMultiTimeRedBag	6
115	RedBagLuckKing	-1
116	AchievementScore	-1
117	SignIn	-1
118	ActiveValue	100
119	SignInWholeMonth	-1
120	PlayerLevelUp	-1
121	XOYOGameCompleted	-1
122	PassXOYOGame	1
123	PassXOYOGame	2
124	PassXOYOGame	3
125	PassXOYOGame	4
126	PassXOYOGame	5
127	XOYOGameAllAlive	-1
128	YiJunTask	-1
129	JianXiaCiDian	-1
130	FreightTaskAssist	-1
131	CangBaoTu_Finish	-1
132	CommerceTask	-1
133	FieldPratice_OpenTime	-1
134	FieldPracticeUseJiu	-1
135	FuNiuMountain	-1
136	YiJunCompleted	-1
137	DomainBattleComboKill	10
138	DomainBattleComboKill	20
139	DomainBattleComboKill	50
140	DomainBattleComboKill	100
141	DomainBattleKill	-1
142	DomainBattleRank	50
143	DomainBattleRank	20
144	DomainBattleRank	10
145	DomainBattleRank	1
146	DomainBattleHold	0
147	DomainBattleHold	3
148	DomainBattleHoldDomain	85
149	GuanYingTime	-1
150	OfficialMaintain	-1
151	GuanYing	1
152	EnterBaiHuTangFloor	1
153	BaiHuTangKillPlayer	-1
154	BaiHuTangKillMonster	-1
155	BaiHuTangKillBossWithTeam	-1
156	BaiHuTangKillBossWithAlone	-1
157	WuLinGaoShou_JoinCount	-1
158	WuLinGaoShouAttackBoss	-1
159	WuLinGaoShouFirstAttack	-1
160	KinChallenge_JoinCount	-1
161	TongChallengeRank	50
162	TongChallengeRank	30
163	TongChallengeRank	10
164	TongChallengeRank	1
165	TongChallengePlunderScore	-1
166	TongChallengeBePlunderedWithFail	-1
167	TongChallengeBePlunderedRate	5
168	TongChallengeBePlunderedRate	10
169	TongChallengeTongRank	1
170	KinLevelPassed	-1
171	KinParty_JoinCount	-1
172	TongPartyCherr	-1
173	TongPartyDivinationWin	-1
