nConfigId	szFormalaType	nTemplateID	szName	nCount
1	XINGFUFORMALA	1109	<i18n=22124>	1
1	XINGFUFORMALA	1112	<i18n=22112>	1
1	XINGFUFORMALA	1113	<i18n=22118>	1
1	XINGFUFORMALA	1114	<i18n=22120>	1
1	XINGFUFORMALA	1115	<i18n=22108>	1
1	XINGFUFORMALA	1116	<i18n=22125>	1
1	XINGFUQUAN	1118	<i18n=22206>	1
1	HUANLEFORMALA	1109	<i18n=22124>	1
1	HUANLEFORMALA	1112	<i18n=22112>	1
1	HUANLEFORMALA	1113	<i18n=22118>	1
1	HUANLEFORMALA	1114	<i18n=22120>	1
1	HUANLEFORMALA	1115	<i18n=22108>	1
1	HUANLEQUAN	1117	<i18n=22197>	1
