nConfigId	nMapId	szPosFile
1	17	Setting/Map/linancheng/info/SpringFWnpc_pos_info.txt
1	66	Setting/Map/xiangyangcheng/info/SpringFWnpc_pos_info.txt
1	95	Setting/Map/fengxiangcheng/info/SpringFWnpc_pos_info.txt
2	17	Setting/Map/linancheng/info/Lanters_pos_info.txt
2	66	Setting/Map/xiangyangcheng/info/Lanters_pos_info.txt
2	95	Setting/Map/fengxiangcheng/info/Lanters_pos_info.txt
3	327	Setting/Map/badaoshanzhuang/info/badaohandin_pos_info.txt
5	17	Setting/Map/linancheng/info/TombSweeping_pos_info.txt
5	31	Setting/Map/meihualing/info/TombSweeping_pos_info.txt
6	17	Setting/Map/linancheng/info/DuanWu_pos_info.txt
