nConfigID	szLogWay	szSaveKey	nLevel	nLastStartTimeSaveID	bHasExtraAward	szNPCMapID	nNPCID
1	LogWay_DuDan	DuDanHandIn	25	1	1	94	7137
2	LogWay_QiXiComposing	QiXiComposing	25	1	1	17	12286
3	LogWay_MoonCakeCompose	MoonCakeCompose	25	1	0	1|66|17|95|99|97|287|10|98|96|101|11|100|9|16|94	12296
4	LogWay_GuMuMiQing	GuMuCompose	25	1	1	314	9264
6	LogWay_ChristmasHandIn	ChristmasHandIn	25	1	0	17	12377
7	LogWay_ChristmasHandIn2	ChristmasHandIn2	25	1	0	17	12375
11	LogWay_NewYearHandInQiYuanFu	NewYearHandInQiYuanFu	25	1	0	17	12391
12	LogWay_NewYearHandInRedPacket	NewYearHandInRedPacket	25	1	0	17	12391
13	LogWay_YuanXiaoDeliciousHandin	YuanXiaoDeliciousHandin	25	1	0	17	12417
14	LogWay_YangDaoDaHuiHandIn	YangDaoDaHuiHandIn	25	1	0	327	12434
16	LogWay_QingmingHandIn	QingmingHandIn	25	1	0	17	12435
