nConfigID	nIndex	szDialogText	nFormulaID	szRedPointEvent	bHasExtraAward	nOnceMaxHandInCount	nHasStageAward	nStageAwardSaveID
1	1	<i18n=24819>	3		1	5	0	0
1	2	<i18n=25114>	6		0	10	0	0
1	3	<i18n=25536>	7		0	10	0	0
2	1	<i18n=26139>	9		0	10	0	0
3	1	<i18n=27981>	12		0	10	0	0
3	2	<i18n=27991>	13		0	10	0	0
4	1	<i18n=30425>	20		1	10	1	4
4	2	<i18n=30419>	21		1	10	0	0
6	1	<i18n=31396>	24		0	20	0	0
6	2	<i18n=31388>	25		0	20	0	0
7	1	<i18n=32090>	26		0	20	0	0
11	1		36	NewYearHandIn	0	20	0	0
12	1		37	NewYearHandIn	0	20	1	4
13	1		43	FestiveLanternSubmit	0	20	1	4
13	2		44	FestiveLanternCompose	0	20	0	0
14	1		47		0	20	1	4
14	2		48	YangDaoDaHuiSubmitShaoXia	0	20	1	5
14	3		49	YangDaoDaHuiSubmitJueShi	0	20	0	0
16	1		65	QingmingSubmitPrimary	0	20	1	5
16	2		66	QingmingSubmitAdvanced	0	20	0	0
