nConfigID	szLogWay	szSaveKey	nLevel	nLastStartTimeSaveID	szHighRedPoint	szMiddleRedPoint	szExtraRedPoint
1	LogWay_SummerFishing	Fishing	25	1	ComposeActivityHighCanMake	ComposeActivityMiddleCanMake	ComposeActivityExtraAward
2	LogWay_DuDan	DuDan	25	1	ComposeActivityHighCanMake	ComposeActivityMiddleCanMake	ComposeActivityExtraAward
3	LogWay_QiXiComposing	QiXiComposing	25	1	ComposeActivityHighCanMakeTwo	ComposeActivityMiddleCanMakeTwo	ComposeActivityExtraAwardTwo
4	LogWay_MoonCakeCompose	MoonCakeCompose	25	1	ComposeActivityHighCanMake	ComposeActivityMiddleCanMake	ComposeActivityExtraAward
5	LogWay_WomenCompose	WomenDayComposing	25	1	ComposeActivityHighCanMake	ComposeActivityMiddleCanMake	ComposeActivityExtraAward
6	LogWay_GuMuCompose	GuMuCompose	25	1	ComposeActivityHighCanMake	ComposeActivityMiddleCanMake	ComposeActivityExtraAward
8	LogWay_ChristCompose	ChristmasCompose	25	1	ComposeActivityHighCanMakeTwo	ComposeActivityMiddleCanMakeTwo	ComposeActivityExtraAwardTwo
10	LogWay_LaBaCompose	LabaCompose	25	1	ComposeActivityHighCanMakeTwo	ComposeActivityMiddleCanMakeTwo	ComposeActivityExtraAwardTwo
11	LogWay_YuanXiaoCompose	YuanXiaoCompose	25	1	FestiveLanternCompose	FestiveLanternCompose	FestiveLanternCompose
12	LogWay_YangDaoDaHuiCompose	YangDaoDaHuiCompose	25	1	ComposeActivityHighCanMake	ComposeActivityMiddleCanMake	ComposeActivityExtraAward
14	LogWay_QingmingCompose	QingmingCompose	25	1	ComposeActivityHighCanMake	ComposeActivityMiddleCanMake	ComposeActivityExtraAward
15	LogWay_QingmingCompose	QingmingCompose	25	1	ComposeActivityHighCanMake	ComposeActivityMiddleCanMake	ComposeActivityExtraAward
