nConfigId	nOpenNum	nSimpleRate	nWorkerRate
1	1	30000	30000
1	2	40000	40000
1	3	55000	55000
1	4	75000	75000
1	5	100000	100000
1	6	130000	130000
1	7	165000	165000
1	8	205000	205000
1	9	250000	250000
1	10	295000	295000
1	11	340000	340000
1	12	420000	420000
1	13	470000	470000
1	14	520000	520000
1	15	560000	560000
1	16	600000	600000
1	17	640000	640000
1	18	680000	680000
1	19	720000	720000
1	20	800000	800000
1	21	840000	840000
1	22	880000	880000
1	23	920000	920000
1	24	960000	960000
1	25	1000000	1000000
2	1	30000	30000
2	2	40000	40000
2	3	55000	55000
2	4	75000	75000
2	5	100000	100000
2	6	130000	130000
2	7	165000	165000
2	8	205000	205000
2	9	250000	250000
2	10	295000	295000
2	11	340000	340000
2	12	420000	420000
2	13	470000	470000
2	14	520000	520000
2	15	560000	560000
2	16	600000	600000
2	17	640000	640000
2	18	680000	680000
2	19	720000	720000
2	20	800000	800000
2	21	840000	840000
2	22	880000	880000
2	23	920000	920000
2	24	960000	960000
2	25	1000000	1000000
4	1	25000	25000
4	2	35000	35000
4	3	45000	45000
4	4	60000	60000
4	5	80000	80000
4	6	105000	105000
4	7	135000	135000
4	8	170000	170000
4	9	210000	210000
4	10	250000	250000
4	11	290000	290000
4	12	330000	330000
4	13	370000	370000
4	14	415000	415000
4	15	460000	460000
4	16	535000	535000
4	17	580000	580000
4	18	625000	625000
4	19	670000	670000
4	20	750000	750000
4	21	800000	800000
4	22	850000	850000
4	23	900000	900000
4	24	950000	950000
4	25	1000000	1000000
7	1	5000	5000
7	2	11000	11000
7	3	18000	18000
7	4	26000	26000
7	5	35000	35000
7	6	45000	45000
7	7	56000	56000
7	8	68000	68000
7	9	81000	81000
7	10	95000	95000
7	11	110000	110000
7	12	126000	126000
7	13	143000	143000
7	14	161000	161000
7	15	180000	180000
7	16	200000	200000
7	17	221000	221000
7	18	243000	243000
7	19	266000	266000
7	20	290000	290000
7	21	315000	315000
7	22	341000	341000
7	23	368000	368000
7	24	396000	396000
7	25	1000000	1000000
