nConfigId	nMapId	nLocX	nLocY
1	17	47524	67819
1	17	55991	72350
1	17	60233	65249
1	17	54562	59348
1	17	43770	75445
1	17	38108	79577
1	17	35576	73320
1	17	33415	69148
1	17	29020	63338
1	17	25966	60210
1	17	28201	53208
1	17	34309	45610
1	17	38928	41140
1	17	47568	34436
1	17	71033	45312
1	17	68723	51271
1	17	84590	60657
1	17	77588	74661
1	17	65222	85089
1	17	52708	96710
1	17	51889	106244
1	17	57848	111309
1	17	67159	122334
1	17	75428	115779
1	17	83398	107734
1	17	90996	99987
1	17	100009	90750
1	17	99860	113991
1	17	103287	116375
1	17	106639	119503
1	17	107533	82556
1	17	101350	73618
1	17	98147	70042
1	17	102542	66616
1	17	92337	77491
1	17	87569	80322
1	17	48686	92091
1	17	41386	85685
1	17	35725	77342
1	17	44887	65871
1	17	48313	62742
1	17	53230	59465
1	17	53975	73469
1	17	57997	67510
1	17	64359	36719
1	17	75186	46778
1	17	86292	62425
1	17	81821	95115
1	17	78538	91203
1	17	107723	83776
1	66	71103	83018
1	66	75270	96829
1	66	67969	90099
1	66	84137	88570
1	66	97078	112459
1	66	57301	69450
1	66	60463	104962
1	66	95106	69448
1	66	93988	110629
1	66	90439	106509
1	66	81340	93460
1	66	69436	95750
1	66	66231	79039
1	66	61424	74117
1	66	52725	65304
1	66	90096	74346
1	66	101828	62556
1	66	100168	63587
1	66	57590	107997
1	66	54785	110400
1	66	52782	113376
1	66	49635	115437
1	66	63026	101015
1	66	88608	105364
1	66	99482	116238
1	66	83515	81557
1	66	101427	88882
1	66	57876	71599
1	66	97536	52599
1	66	88265	44243
1	66	68063	112232
1	66	78593	116581
1	66	82542	113147
1	66	43397	110057
1	66	36300	101930
1	66	42367	90485
1	66	50951	81099
1	66	57189	74117
1	66	63026	50996
1	66	68692	44129
1	66	76189	38177
1	66	97991	84982
1	66	108160	94751
1	66	113942	99736
1	66	116285	102428
1	66	58563	91262
1	66	54376	87075
1	66	51435	82888
1	66	48395	83087
1	66	162	75580
