nSort	nAwardId	nAwardKey	nCondition	nProductId	nLimitedTime	nPrice	szMoneyType	szGradeImgPath
1	1252	1	1					UI/atlas/activity_MonthlyMarket/img_CellBg.png
2			2	111				UI/atlas/activity_MonthlyMarket/img_CellBg2.png
3	1252	2	1					UI/atlas/activity_MonthlyMarket/img_CellBg.png
4	1252	3	1					UI/atlas/activity_MonthlyMarket/img_CellBg.png
5			2	112				UI/atlas/activity_MonthlyMarket/img_CellBg2.png
6	1252	4	1					UI/atlas/activity_MonthlyMarket/img_CellBg.png
7	1252	5	3		324000	188	Gold	UI/atlas/activity_MonthlyMarket/img_CellBg3.png
8			2	113				UI/atlas/activity_MonthlyMarket/img_CellBg2.png
9	1252	6	1					UI/atlas/activity_MonthlyMarket/img_CellBg.png
10	1252	7	3		756000	288	Gold	UI/atlas/activity_MonthlyMarket/img_CellBg3.png
11			2	114				UI/atlas/activity_MonthlyMarket/img_CellBg2.png
12	1252	8	1					UI/atlas/activity_MonthlyMarket/img_CellBg.png
13	1252	9	3		1620000	688	Gold	UI/atlas/activity_MonthlyMarket/img_CellBg3.png
