nConfigId	nIndex	szNewTimeFrame	szTimeFrameStart	szTimeFrameEnd	szDesc	szMContent	szShowTitle
1	1	OpenLevel49	OpenLevel49C	OpenLevel49D	<i18n=21656>	<i18n=21593>	<i18n=21400>
1	2	OpenLevel59	OpenLevel59C	OpenLevel59D	<i18n=25715>	<i18n=21587>	<i18n=21574>
1	3	OpenLevel69	OpenLevel69C	OpenLevel69D	<i18n=25711>	<i18n=21578>	<i18n=21395>
1	4	OpenLevel79	OpenLevel79C	OpenLevel79D	<i18n=28786>	<i18n=22097>	<i18n=21592>
1	5	OpenLevel89	OpenLevel89C	OpenLevel89D	<i18n=59184>	<i18n=21580>	<i18n=21590>
1	6	OpenLevel99	OpenLevel99C	OpenLevel99D	<i18n=32017>	<i18n=21597>	<i18n=21399>
1	7	OpenLevel109	OpenLevel109C	OpenLevel109D	<i18n=32045>	<i18n=21625>	<i18n=21895>
1	8	OpenLevel119	OpenLevel119C	OpenLevel119D	<i18n=68906>	<i18n=21595>	<i18n=21911>
1	9	OpenLevel129	OpenLevel129C	OpenLevel129D	<i18n=44648>	<i18n=36793>	<i18n=36816>
1	10	OpenLevel139	OpenLevel139C	OpenLevel139D	<i18n=71889>	<i18n=36784>	<i18n=36809>
1	11	OpenLevel149	OpenLevel149C	OpenLevel149D	<i18n=89115>	<i18n=36820>	<i18n=36788>
1	12	OpenLevel159	OpenLevel159C	OpenLevel159D	<i18n=71880>	<i18n=36782>	<i18n=36724>
1	13	OpenLevel169	OpenLevel169C	OpenLevel169D	<i18n=89117>	<i18n=36740>	<i18n=36805>
1	14	OpenLevel179	OpenLevel179C	OpenLevel179D	<i18n=80818>	<i18n=36808>	<i18n=36742>
1	15	OpenLevel189	OpenLevel189C	OpenLevel189D	<i18n=89118>	<i18n=36776>	<i18n=36728>
1	16	OpenLevel199	OpenLevel199C	OpenLevel199D	<i18n=84377>	<i18n=36825>	<i18n=36786>
1	17	OpenLevel209	OpenLevel209C	OpenLevel209D	<i18n=89116>	<i18n=66381>	<i18n=66390>
1	18	OpenLevel219	OpenLevel219C	OpenLevel219D	<i18n=84926>	<i18n=66404>	<i18n=66354>
1	19	OpenLevel229	OpenLevel229C	OpenLevel229D	<i18n=67076>	<i18n=66401>	<i18n=66356>
1	20	OpenLevel239	OpenLevel239C	OpenLevel239D	<i18n=74253>	<i18n=66353>	<i18n=66405>
1	21	OpenLevel249	OpenLevel249C	OpenLevel249D	<i18n=67031>	<i18n=66385>	<i18n=66392>
1	22	OpenLevel259	OpenLevel259C	OpenLevel259D	<i18n=74393>	<i18n=66366>	<i18n=66396>
1	23	OpenLevel269	OpenLevel269C	OpenLevel269D	<i18n=67045>	<i18n=66410>	<i18n=66359>
1	24	OpenLevel279	OpenLevel279C	OpenLevel279D	<i18n=74115>	<i18n=66400>	<i18n=66364>
1	25	OpenLevel289	OpenLevel289C	OpenLevel289D	<i18n=67036>	<i18n=66395>	<i18n=66349>
1	26	OpenLevel299	OpenLevel299C	OpenLevel299D	<i18n=74020>	<i18n=66398>	<i18n=66394>
