nConfigId	nRankStart	nRankEnd	nAwardKey
1	1	1	26
1	2	3	27
1	4	10	28
1	11	20	29
1	21	50	30
1	51	100	31
1	101	200	32
2	1	1	4
2	2	3	5
2	4	10	6
2	11	20	7
2	21	50	8
2	51	100	9
3	1	1	4
3	2	3	5
3	4	10	6
3	11	20	7
3	21	50	8
3	51	100	9
3	101	500	10
4	1	1	14
4	2	3	15
4	4	10	16
4	11	20	17
4	21	50	18
4	51	100	19
4	101	500	20
5	1	1	12
5	2	3	13
5	4	10	14
5	11	20	15
5	21	50	16
5	51	100	17
5	101	500	18
6	1	1	1
6	2	3	2
6	4	10	3
6	11	20	4
6	21	50	5
6	51	100	6
6	101	500	7
7	1	1	4
7	2	3	5
7	4	10	6
8	1	1	17
8	2	3	18
8	4	10	19
8	11	20	20
8	21	50	21
8	51	100	22
8	101	200	23
9	1	1	4
9	2	3	5
9	4	10	6
9	11	20	7
9	21	50	8
9	51	100	9
10	1	1	4
10	2	3	5
10	4	10	6
10	11	20	7
10	21	50	8
10	51	100	9
