nConfigId	nIndex	nAmount	nAwardId	nAwardKey
1	1	250000	1099	1
1	2	500000	1099	2
1	3	1000000	1099	3
1	4	1500000	1099	4
1	5	3000000	1099	5
1	6	5000000	1099	6
1	7	8000000	1099	7
1	8	12000000	1099	8
2	1	250000	1099	9
2	2	500000	1099	10
2	3	1000000	1099	11
2	4	1500000	1099	12
2	5	3000000	1099	13
2	6	5000000	1099	14
2	7	8000000	1099	15
2	8	12000000	1099	16
3	1	250000	1099	17
3	2	500000	1099	18
3	3	1000000	1099	19
3	4	1500000	1099	20
3	5	3000000	1099	21
3	6	5000000	1099	22
3	7	8000000	1099	23
3	8	12000000	1099	24
4	1	250000	1099	17
4	2	500000	1099	18
4	3	1000000	1099	19
4	4	1500000	1099	20
4	5	3000000	1099	21
4	6	5000000	1099	22
4	7	8000000	1099	23
4	8	12000000	1099	24
