nConfigId	nMapTemplateId	nPosX	nPosY
1	27	69525	39655
1	27	90640	70555
1	27	89610	95275
1	27	79310	117420
1	27	86520	129256
1	27	53045	153985
1	27	46865	112270
1	27	36565	115905
1	27	43775	89095
1	27	40170	62315
1	29	69010	110725
1	29	81885	96820
1	29	99395	118450
1	29	106090	56135
1	29	117935	44290
1	29	96820	40170
1	29	68495	34505
1	29	35535	51500
1	29	23175	80855
1	29	57165	106090
1	51	42745	98880
1	51	16480	124115
1	51	57680	119480
1	51	86005	103515
1	51	107635	89610
1	51	115875	67980
1	51	103000	25235
1	51	89610	45320
1	51	66435	60770
1	51	113300	107635
