nConfigId	nMapTemplateId	nNpcTemplateId	nAttackNpcTemplateId	nPosX	nPosY
1	27	12183	12184	13969	127889
1	27	12183	12184	20083	127721
1	27	12183	12184	22825	90953
1	27	12183	12184	37734	66513
1	27	12183	12184	41319	60869
1	27	12183	12184	41727	52767
1	27	12183	12184	30732	59185
1	27	12183	12184	52867	54115
1	27	12183	12184	66723	48596
1	27	12183	12184	73370	40992
1	27	12183	12184	73478	48708
1	27	12183	12184	68080	41632
1	27	12183	12184	66643	61829
1	27	12183	12184	26006	96127
1	27	12183	12184	38254	120313
1	27	12183	12184	42543	118162
1	27	12183	12184	44612	107513
1	27	12183	12184	45622	89130
1	27	12183	12184	100953	89126
1	27	12183	12184	90148	96432
1	27	12183	12184	93684	66489
1	27	12183	12184	91625	85632
1	27	12183	12184	82956	131496
1	27	12183	12184	89015	131773
1	27	12183	12184	87442	125252
1	27	12183	12184	86238	117248
1	27	12183	12184	47668	153536
1	27	12183	12184	45038	146535
1	27	12183	12184	50635	146496
1	27	12183	12184	54649	154446
1	27	12183	12184	56607	139970
1	27	12183	12184	52810	134591
1	27	12183	12184	76501	116082
1	27	12183	12184	91448	55774
1	27	12183	12184	38766	84931
1	27	12183	12184	36224	112936
1	27	12183	12184	61806	123607
1	27	12183	12184	73142	136987
1	27	12183	12184	70312	154378
1	27	12183	12184	67925	141831
1	27	12183	12184	31336	106665
1	27	12183	12184	36436	138145
1	27	12183	12184	29828	126758
1	27	12183	12184	81628	122692
1	27	12183	12184	77354	89417
1	27	12183	12184	44961	72715
1	27	12183	12184	52977	39823
1	27	12183	12184	68847	33377
1	27	12183	12184	77193	52659
1	27	12183	12184	91747	73700
1	27	12183	12184	68906	68048
1	27	12183	12184	54571	70655
1	27	12183	12184	32107	95385
1	27	12183	12184	25690	116743
1	27	12183	12184	50426	97007
1	27	12183	12184	93012	49679
1	27	12183	12184	98835	79793
1	27	12183	12184	86138	102166
1	27	12183	12184	54231	125515
1	27	12183	12184	96356	94388
1	29	12183	12184	13997	116071
1	29	12183	12184	11029	99833
1	29	12183	12184	15822	82800
1	29	12183	12184	24014	88491
1	29	12183	12184	13912	72424
1	29	12183	12184	19557	55505
1	29	12183	12184	17560	46926
1	29	12183	12184	28738	59626
1	29	12183	12184	35417	82270
1	29	12183	12184	31795	51360
1	29	12183	12184	42393	46772
1	29	12183	12184	38581	50157
1	29	12183	12184	34943	27252
1	29	12183	12184	39562	26904
1	29	12183	12184	47535	30067
1	29	12183	12184	57880	28802
1	29	12183	12184	67106	36985
1	29	12183	12184	79126	39661
1	29	12183	12184	75270	28683
1	29	12183	12184	70293	30926
1	29	12183	12184	73047	39307
1	29	12183	12184	93846	35436
1	29	12183	12184	94786	25404
1	29	12183	12184	85730	28109
1	29	12183	12184	98487	44567
1	29	12183	12184	104518	56892
1	29	12183	12184	117049	37165
1	29	12183	12184	119342	49715
1	29	12183	12184	111714	42087
1	29	12183	12184	118985	61552
1	29	12183	12184	104987	48889
1	29	12183	12184	112728	50542
1	29	12183	12184	100645	137708
1	29	12183	12184	96984	133070
1	29	12183	12184	84445	117952
1	29	12183	12184	74099	118188
1	29	12183	12184	83955	104981
1	29	12183	12184	91538	98280
1	29	12183	12184	82799	97928
1	29	12183	12184	62872	98012
1	29	12183	12184	81567	89064
1	29	12183	12184	74265	96198
1	29	12183	12184	76618	89550
1	29	12183	12184	76768	52314
1	29	12183	12184	105059	89214
1	29	12183	12184	110786	99302
1	29	12183	12184	111894	117561
1	29	12183	12184	93512	125237
1	29	12183	12184	39530	72304
1	29	12183	12184	52826	112918
1	29	12183	12184	54504	100855
1	29	12183	12184	41142	111865
1	29	12183	12184	37848	101629
1	29	12183	12184	61923	61786
1	29	12183	12184	82000	77135
1	29	12183	12184	86240	62733
1	29	12183	12184	59255	108007
1	29	12183	12184	61452	92341
1	29	12183	12184	77164	77119
1	29	12183	12184	46582	76936
1	51	12183	12184	43427	145491
1	51	12183	12184	17452	138725
1	51	12183	12184	25378	126341
1	51	12183	12184	35219	117839
1	51	12183	12184	51742	78764
1	51	12183	12184	40376	100571
1	51	12183	12184	49916	116439
1	51	12183	12184	63325	116977
1	51	12183	12184	89018	106965
1	51	12183	12184	113522	107352
1	51	12183	12184	106666	86928
1	51	12183	12184	122092	70753
1	51	12183	12184	114063	63704
1	51	12183	12184	108578	70723
1	51	12183	12184	98001	66218
1	51	12183	12184	100569	25102
1	51	12183	12184	88105	54879
1	51	12183	12184	73336	43469
1	51	12183	12184	86441	74993
1	51	12183	12184	74503	108246
1	51	12183	12184	58117	125295
1	51	12183	12184	33036	106491
1	51	12183	12184	48200	104909
1	51	12183	12184	58864	91488
1	51	12183	12184	86436	92065
1	51	12183	12184	113614	90652
1	51	12183	12184	82620	106764
1	51	12183	12184	42957	112087
1	51	12183	12184	65389	59774
1	51	12183	12184	55119	133506
1	51	12183	12184	14538	122393
1	51	12183	12184	47405	89786
1	51	12183	12184	83434	64003
1	51	12183	12184	87560	45831
1	51	12183	12184	56169	115845
1	51	12183	12184	30088	149449
1	51	12183	12184	19480	147133
1	51	12183	12184	35460	129374
1	51	12183	12184	46169	132865
1	51	12183	12184	62601	111682
1	51	12183	12184	27285	111246
1	51	12183	12184	38598	77406
1	51	12183	12184	54742	93588
1	51	12183	12184	86618	100761
1	51	12183	12184	81316	85693
1	51	12183	12184	102372	90287
1	51	12183	12184	117505	68842
1	51	12183	12184	99662	47422
1	51	12183	12184	96256	33114
1	51	12183	12184	75317	69203
1	51	12183	12184	45353	96842
1	51	12183	12184	36277	111531
1	51	12183	12184	46986	79619
1	51	12183	12184	61602	53657
1	51	12183	12184	66746	64685
1	51	12183	12184	43670	105086
1	51	12183	12184	50747	128088
1	51	12183	12184	89084	38734
1	51	12183	12184	95461	46180
1	51	12183	12184	96807	60962
