nConfigId	nMapTemplateId	nPosX	nPosY
1	17	58710	46350
1	17	56650	78795
1	66	89610	105060
1	66	97335	118450
1	95	76735	41715
1	95	91155	53045
1	9	21115	33990
1	9	34505	60255
1	10	32445	20600
1	10	20085	24720
1	11	38625	58710
1	11	62315	77765
1	16	40685	31415
1	16	16480	56650
1	94	24205	41715
1	94	56135	47380
1	96	12360	27810
1	96	33990	47895
1	97	41715	46350
1	97	59740	55620
1	98	16995	39140
1	98	9270	23175
1	99	55620	54590
1	99	44805	81370
1	100	27810	30385
1	100	35020	66950
1	101	49955	45320
1	101	48410	67980
1	287	35020	23175
1	287	41200	48410
