Id	AnswerId	Group	LevelMin	Question	Choice_1	Choice_2	Choice_3	Choice_4
1	1	1	1	<i18n=3595>	1	10	30	40
2	4	1	30	<i18n=7064>	<i18n=10020>	<i18n=10131>	<i18n=13422>	<i18n=15205>
3	2	1	1	<i18n=12911>	<i18n=2961>	<i18n=3842>	<i18n=14430>	<i18n=2087>
4	3	1	10	<i18n=2148>	3	4	5	6
5	1	1	30	<i18n=3794>	<i18n=6918>	<i18n=9274>	<i18n=4362>	<i18n=9749>
6	3	1	20	<i18n=11988>	<i18n=4248>	<i18n=8593>	<i18n=1613>	<i18n=14806>
7	1	1	40	<i18n=11145>	<i18n=1151>	<i18n=9525>	<i18n=10203>	<i18n=606>
8	4	1	50	<i18n=4568>	<i18n=白色>	<i18n=绿色>	<i18n=7046>	<i18n=2420>
9	2	1	50	<i18n=19978>	<i18n=10532>	<i18n=2385>	<i18n=1030>	<i18n=11941>
10	3	1	33	<i18n=21386>	4	5	6	10
11	1	2	40	<i18n=4224>	<i18n=7492>	<i18n=15554>	<i18n=3087>	<i18n=11141>
12	3	2	1	<i18n=13994>	<i18n=10206>	<i18n=9267>	<i18n=8422>	<i18n=2490>
13	2	2	25	<i18n=9077>	<i18n=奇珍阁>	<i18n=15283>	<i18n=6892>	<i18n=3510>
14	1	2	20	<i18n=11237>	<i18n=3825>	<i18n=4567>	<i18n=金币>	<i18n=装备>
15	1	2	40	<i18n=10737>	<i18n=11360>	<i18n=7368>	<i18n=8104>	<i18n=15919>
16	2	2	1	<i18n=6132>	<i18n=15100>	<i18n=3069>	<i18n=4173>	<i18n=9449>
17	1	2	50	<i18n=5742>	<i18n=10506>	<i18n=7299>	<i18n=609>	<i18n=2849>
18	1	2	30	<i18n=13858>	<i18n=4567>	<i18n=银两>	<i18n=金币>	<i18n=声望>
19	3	2	50	<i18n=3822>	50	40	3	20
20	1	2	40	<i18n=5934>	<i18n=483>	<i18n=12605>	<i18n=7341>	<i18n=3390>
21	3	3	20	<i18n=2903>	<i18n=21299>	<i18n=10136>	<i18n=8448>	<i18n=9629>
22	4	3	20	<i18n=11771>	10	20	30	4
23	4	3	20	<i18n=3979>	50	100	150	12
24	3	3	1	<i18n=12123>	<i18n=862>	<i18n=14472>	<i18n=7618>	<i18n=14491>
25	2	3	30	<i18n=5012>	<i18n=13653>	<i18n=15414>	<i18n=13889>	<i18n=6514>
26	1	3	33	<i18n=21378>	<i18n=13202>	<i18n=21329>	<i18n=21742>	<i18n=21336>
27	2	3	40	<i18n=7396>	<i18n=2084>	<i18n=15577>	<i18n=声望>	<i18n=精活>
28	4	3	1	<i18n=6578>	<i18n=6771>	<i18n=5501>	<i18n=7993>	<i18n=13057>
29	2	3	50	<i18n=1753>	10	2	30	40
30	4	3	40	<i18n=4412>	<i18n=6848>	<i18n=14298>	<i18n=14594>	<i18n=2783>
31	4	4	40	<i18n=9068>	<i18n=7492>	<i18n=15554>	<i18n=3087>	<i18n=11141>
32	2	4	1	<i18n=12460>	<i18n=2961>	<i18n=4633>	<i18n=5006>	<i18n=2087>
33	3	4	40	<i18n=4972>	<i18n=15716>	<i18n=14428>	<i18n=10066>	<i18n=12814>
34	2	4	1	<i18n=746>	<i18n=4223>	<i18n=12041>	<i18n=8099>	<i18n=11747>
35	2	4	50	<i18n=4840>	<i18n=4567>	<i18n=11628>	<i18n=金币>	<i18n=10549>
36	2	4	50	<i18n=14989>	<i18n=8533>	<i18n=4876>	<i18n=7205>	<i18n=6456>
37	3	4	50	<i18n=12448>	<i18n=14788>	<i18n=13343>	<i18n=21291>	<i18n=3052>
38	1	4	50	<i18n=441>	<i18n=家族>	<i18n=背包>	<i18n=商店>	<i18n=奇珍阁>
39	4	4	35	<i18n=9819>	<i18n=12932>	<i18n=10677>	<i18n=1614>	<i18n=6105>
40	1	4	1	<i18n=3804>	<i18n=14648>	<i18n=2806>	<i18n=14122>	<i18n=7526>
41	1	5	1	<i18n=7555>	<i18n=2203>	<i18n=10333>	<i18n=16179>	<i18n=12672>
42	1	5	50	<i18n=9806>	<i18n=7044>	<i18n=2302>	<i18n=10008>	<i18n=9088>
43	4	5	50	<i18n=5279>	<i18n=730>	<i18n=14386>	<i18n=11424>	<i18n=1157>
44	2	5	1	<i18n=15350>	<i18n=270>	<i18n=9848>	<i18n=3181>	<i18n=7654>
45	1	5	30	<i18n=6155>	<i18n=7146>	<i18n=7772>	<i18n=8502>	<i18n=3780>
46	1	5	33	<i18n=19382>	<i18n=22110>	<i18n=962>	<i18n=7254>	<i18n=14888>
47	4	5	50	<i18n=22084>	<i18n=8215>	<i18n=5113>	<i18n=21346>	<i18n=12181>
48	1	5	50	<i18n=14266>	50	40	30	20
49	3	5	1	<i18n=4200>	<i18n=天王>	<i18n=1754>	<i18n=唐门>	<i18n=武当>
50	2	5	1	<i18n=15310>	<i18n=名字>	<i18n=2189>	<i18n=10949>	<i18n=声音>
51	4	6	30	<i18n=14918>	<i18n=7221>	<i18n=2034>	<i18n=1276>	<i18n=7493>
52	2	6	1	<i18n=5121>	<i18n=8822>	<i18n=2769>	<i18n=2689>	<i18n=10350>
53	3	6	1	<i18n=949>	<i18n=武林高手>	<i18n=13147>	<i18n=11841>	<i18n=3280>
54	2	6	1	<i18n=12509>	<i18n=9146>	<i18n=9193>	<i18n=8540>	<i18n=4272>
55	1	6	40	<i18n=8608>	<i18n=15331>	<i18n=14748>	<i18n=13193>	<i18n=14460>
56	3	6	20	<i18n=12861>	<i18n=19889>	<i18n=19891>	<i18n=4839>	<i18n=19890>
57	4	6	50	<i18n=3354>	1	2	3	4
58	4	6	50	<i18n=12849>	<i18n=拼手气红包>	<i18n=普通红包>	<i18n=专属红包>	<i18n=1051>
59	4	6	50	<i18n=13681>	50	40	30	2
60	1	6	35	<i18n=13881>	<i18n=537>	<i18n=6842>	<i18n=3972>	<i18n=10600>
61	1	7	1	<i18n=12749>	4	5	6	7
62	2	7	20	<i18n=2570>	<i18n=12609>	<i18n=2215>	<i18n=8431>	<i18n=3801>
63	1	7	20	<i18n=5296>	29	27	25	24
64	1	7	1	<i18n=3440>	<i18n=9268>	<i18n=980>	<i18n=5362>	<i18n=9185>
65	1	7	50	<i18n=2070>	<i18n=8753>	<i18n=15518>	<i18n=13177>	<i18n=5338>
66	1	7	40	<i18n=1152>	<i18n=9553>	<i18n=11036>	<i18n=13890>	<i18n=517>
67	2	7	1	<i18n=2763>	<i18n=3946>	<i18n=14515>	<i18n=8215>	<i18n=15330>
68	1	7	50	<i18n=6095>	5	40	30	20
69	2	7	50	<i18n=9846>	<i18n=14810>	<i18n=2012>	<i18n=5391>	<i18n=16241>
70	1	7	50	<i18n=2563>	1	20	30	40
71	1	8	40	<i18n=15606>	1	20	30	40
72	2	8	1	<i18n=5460>	<i18n=8386>	<i18n=7403>	<i18n=4118>	<i18n=14335>
73	1	8	1	<i18n=11293>	<i18n=13987>	<i18n=2540>	<i18n=3446>	<i18n=1397>
74	1	8	40	<i18n=12245>	<i18n=14825>	<i18n=11558>	<i18n=6246>	<i18n=3380>
75	1	8	50	<i18n=15035>	<i18n=8753>	<i18n=4362>	<i18n=12621>	<i18n=2114>
76	3	8	50	<i18n=11847>	<i18n=9553>	<i18n=11036>	<i18n=13890>	<i18n=8989>
77	1	8	33	<i18n=3381>	<i18n=5409>	<i18n=11532>	<i18n=21328>	<i18n=12202>
78	2	8	50	<i18n=14573>	<i18n=13456>	<i18n=7138>	<i18n=820>	<i18n=10038>
79	4	8	50	<i18n=7658>	10	20	30	40
80	2	8	40	<i18n=14537>	<i18n=4270>	<i18n=4766>	<i18n=14551>	<i18n=3286>
81	1	9	1	<i18n=11913>	<i18n=10261>	<i18n=10060>	<i18n=绿色>	<i18n=白色>
82	4	9	1	<i18n=5660>	<i18n=4527>	<i18n=2830>	<i18n=13499>	<i18n=3310>
83	4	9	1	<i18n=16333>	<i18n=14723>	<i18n=2389>	<i18n=11805>	<i18n=15058>
84	2	9	30	<i18n=4036>	<i18n=6113>	<i18n=9805>	<i18n=9572>	<i18n=13553>
85	2	9	40	<i18n=5252>	<i18n=7739>	<i18n=2680>	<i18n=12099>	<i18n=3103>
86	1	9	50	<i18n=5681>	<i18n=11102>	<i18n=7943>	<i18n=10178>	<i18n=3737>
87	3	9	40	<i18n=2679>	<i18n=9303>	<i18n=10269>	<i18n=3265>	<i18n=6892>
88	2	9	1	<i18n=14862>	<i18n=1977>	<i18n=15660>	<i18n=629>	<i18n=6912>
89	1	9	1	<i18n=15309>	40	30	20	10
90	1	9	1	<i18n=318>	<i18n=12573>	<i18n=4170>	<i18n=9528>	<i18n=5642>
91	1	10	1	<i18n=2451>	1	2	3	4
92	1	10	50	<i18n=9353>	<i18n=6501>	<i18n=6888>	<i18n=11645>	<i18n=9102>
93	4	10	1	<i18n=2655>	<i18n=4372>	<i18n=4833>	<i18n=9292>	<i18n=9333>
94	2	10	1	<i18n=4894>	<i18n=9790>	<i18n=7596>	<i18n=4912>	<i18n=11201>
95	1	10	40	<i18n=15110>	<i18n=7608>	<i18n=8034>	<i18n=3292>	<i18n=11594>
96	3	10	1	<i18n=5677>	<i18n=2663>	<i18n=4983>	<i18n=6659>	<i18n=6364>
97	3	10	1	<i18n=15584>	<i18n=Mantle>	<i18n=8617>	<i18n=坐骑>	<i18n=官印>
98	3	10	50	<i18n=15719>	<i18n=1641>	<i18n=6722>	<i18n=11124>	<i18n=5355>
99	4	10	20	<i18n=14914>	<i18n=12210>	<i18n=15722>	<i18n=2658>	<i18n=1748>
100	2	10	1	<i18n=318>	<i18n=14783>	<i18n=11287>	<i18n=7182>	<i18n=16061>
