szType	nCount	nMinGold	nMaxGold
Boss	30	50	999
Boss	40	50	999
Boss	50	50	999
Boss	60	50	999
Boss	70	50	999
Boss	80	50	999
TongChallenge	30	50	999
TongChallenge	40	50	999
TongChallenge	50	50	999
TongChallenge	60	50	999
TongChallenge	70	50	999
TongChallenge	80	50	999
GlobalBaiHuTang	30	50	999
GlobalBaiHuTang	40	50	999
GlobalBaiHuTang	50	50	999
GlobalBaiHuTang	60	50	999
GlobalBaiHuTang	70	50	999
GlobalBaiHuTang	80	50	999
DomainBattleOnce	1	50	999
DomainBattleDaily	1	50	999
LaborHonor	1	50	999
LaborHonor1	1	50	999
QinShiHuangLing	1	50	999
SummerAuction1	1	50	999
SummerAuction2	1	50	999
KeYiMen	1	50	999
TieFuCheng	1	50	999
BangHuiZhengDuoSai	1	50	999
ShuangYuZhengFeng	1	50	999
GlobalDomainBattleOnce	1	50	999
GlobalDomainBattleDaily	1	50	999
ShouWeiXiangYang	1	50	999
FengHuoKuangMai	1	50	999
