Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	bServerNotify	bServerSystem	szServerMsg	szServerTongMsg
1	1	Item	213	1	1	5000				1			1			1	1	<i18n=81883>	<i18n=81884>
1	1	Item	211	1	1	50000				1			1						
1	1	Item	3005	3	3	114000				1			1						
1	1	Item	31413	1	1	50000		OpenLevel69		1	1		1			1	1	<i18n=81883>	<i18n=81884>
1	1	Item	31414	1	1	50000	OpenLevel69	OpenLevel99		1	1		1			1	1	<i18n=81883>	<i18n=81884>
1	1	Item	31419	1	1	50000	OpenLevel99	OpenLevel129		1	1		1			1	1	<i18n=81883>	<i18n=81884>
1	1	Item	671715	1	1	50000	OpenLevel129	OpenLevel159		1	1		1			1	1	<i18n=81883>	<i18n=81884>
1	1	Item	671716	1	1	50000	OpenLevel159	OpenLevel189		1	1		1			1	1	<i18n=81883>	<i18n=81884>
1	1	Item	671717	1	1	50000	OpenLevel189	OpenLevel219		1	1		1			1	1	<i18n=81883>	<i18n=81884>
1	1	Item	673543	1	1	50000	OpenLevel219	OpenLevel249		1	1		1			1	1	<i18n=81883>	<i18n=81884>
1	1	Item	673544	1	1	50000	OpenLevel249	OpenLevel279		1	1		1			1	1	<i18n=81883>	<i18n=81884>
1	1	Item	33012	3	3	100000				1			1						
1	1	Item	411	6	6	100000				1			1						
1	1	Item	410	6	6	100000				1			1						
1	1	Item	901	120	120	110000				1			1						
1	1	Item	671600	2	2	100000				1			1						
1	1	Item	203	2	2	50000				1			1						
1	1	MingYangJiFen		8	8	120000				1			1						
1	1	JingHuo		500	500	50000				1			1						
1	1	YuanBao		188	188	50000				1			1						
1	1	YuanBao		8888	8888	1000				1			1			1	1	<i18n=81883>	<i18n=81884>
1	2	Item	674385	1	1	1000000				1			1						
