Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	BasicExp		120				1			1		
1	Item	35348	1				1			1		
2	BasicExp		135				1			1		
2	Item	35349	1				1			1		
3	BasicExp		150				1			1		
3	Item	35350	1				1			1		
4	BasicExp		120				1			1		
4	Item	35351	1				1			1		
5	BasicExp		135				1			1		
5	Item	35352	1				1			1		
6	BasicExp		150				1			1		
6	Item	35353	1				1			1		
7	Item	35354	1				1			1		
8	Item	209	2				1			1		
8	Item	324	1				1			1		
