Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	101	1				1			1		
1	Item	102	1				1			1		
2	Item	101	2				1			1		
2	Item	102	2				1			1		
3	Item	101	3				1			1		
3	Item	102	3				1			1		
4	Item	101	4				1			1		
4	Item	102	4				1			1		
5	Item	101	5				1			1		
5	Item	102	5				1			1		
6	Item	101	6				1			1		
6	Item	102	6				1			1		
11	Item	101	2				1			1		
11	Item	102	2				1			1		
12	Item	101	3				1			1		
12	Item	102	3				1			1		
13	Item	101	4				1			1		
13	Item	102	4				1			1		
14	Item	101	5				1			1		
14	Item	102	5				1			1		
15	Item	101	6				1			1		
15	Item	102	6				1			1		
16	Item	101	7				1			1		
16	Item	102	7				1			1		
21	Item	101	3				1			1		
21	Item	102	3				1			1		
22	Item	101	4				1			1		
22	Item	102	4				1			1		
23	Item	101	5				1			1		
23	Item	102	5				1			1		
24	Item	101	6				1			1		
24	Item	102	6				1			1		
25	Item	101	7				1			1		
25	Item	102	7				1			1		
26	Item	101	8				1			1		
26	Item	102	8				1			1		
31	Item	101	4				1			1		
31	Item	102	4				1			1		
32	Item	101	5				1			1		
32	Item	102	5				1			1		
33	Item	101	6				1			1		
33	Item	102	6				1			1		
34	Item	101	7				1			1		
34	Item	102	7				1			1		
35	Item	101	8				1			1		
35	Item	102	8				1			1		
36	Item	101	9				1			1		
36	Item	102	9				1			1		
