Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	BasicExp		120				1			1		
1	Item	2024	1				1			1		
2	BasicExp		135				1			1		
2	Item	2024	1				1			1		
2	Item	2025	1		OpenLevel69		1			1		
2	Item	2026	1	OpenLevel69	OpenLevel79		1			1		
2	Item	2027	1	OpenLevel79	OpenLevel99		1			1		
2	Item	2028	1	OpenLevel99	OpenLevel129		1			1		
2	Item	671840	1	OpenLevel129	OpenLevel159		1			1		
2	Item	671841	1	OpenLevel159	OpenLevel189		1			1		
2	Item	671842	1	OpenLevel189	OpenLevel219		1			1		
2	Item	673633	1	OpenLevel219	OpenLevel249		1			1		
2	Item	673634	1	OpenLevel249	OpenLevel279		1			1		
2	Item	673635	1	OpenLevel279			1			1		
3	BasicExp		150				1			1		
3	Item	2024	1				1			1		
3	Item	2025	2		OpenLevel69		1			1		
3	Item	2026	2	OpenLevel69	OpenLevel79		1			1		
3	Item	2027	2	OpenLevel79	OpenLevel99		1			1		
3	Item	2028	2	OpenLevel99	OpenLevel129		1			1		
3	Item	671840	2	OpenLevel129	OpenLevel159		1			1		
3	Item	671841	2	OpenLevel159	OpenLevel189		1			1		
3	Item	671842	2	OpenLevel189	OpenLevel219		1			1		
3	Item	673633	2	OpenLevel219	OpenLevel249		1			1		
3	Item	673634	2	OpenLevel249	OpenLevel279		1			1		
3	Item	673635	2	OpenLevel279			1			1		
4	BasicExp		150				1			1		
4	Item	2024	1				1			1		
4	Item	2025	3		OpenLevel69		1			1		
4	Item	2026	3	OpenLevel69	OpenLevel79		1			1		
4	Item	2027	3	OpenLevel79	OpenLevel99		1			1		
4	Item	2028	3	OpenLevel99	OpenLevel129		1			1		
4	Item	671840	3	OpenLevel129	OpenLevel159		1			1		
4	Item	671841	3	OpenLevel159	OpenLevel189		1			1		
4	Item	671842	3	OpenLevel189	OpenLevel219		1			1		
4	Item	673633	3	OpenLevel219	OpenLevel249		1			1		
4	Item	673634	3	OpenLevel249	OpenLevel279		1			1		
4	Item	673635	3	OpenLevel279			1			1		
4	Item	31619	1	OpenLevel79	OpenLevel109		1			1		
4	Item	31638	1	OpenLevel109	OpenLevel139		1			1		
4	Item	671843	1	OpenLevel139	OpenLevel169		1			1		
4	Item	671844	1	OpenLevel169	OpenLevel199		1			1		
4	Item	671845	1	OpenLevel199	OpenLevel229		1			1		
4	Item	673552	1	OpenLevel229	OpenLevel259		1			1		
4	Item	673553	1	OpenLevel259	OpenLevel289		1			1		
4	Item	673554	1	OpenLevel289			1			1		
5	BasicExp		150				1			1		
5	Item	2024	1				1			1		
5	Item	2025	3		OpenLevel69		1			1		
5	Item	2026	3	OpenLevel69	OpenLevel79		1			1		
5	Item	2027	3	OpenLevel79	OpenLevel99		1			1		
5	Item	2028	3	OpenLevel99	OpenLevel129		1			1		
5	Item	671840	3	OpenLevel129	OpenLevel159		1			1		
5	Item	671841	3	OpenLevel159	OpenLevel189		1			1		
5	Item	671842	3	OpenLevel189	OpenLevel219		1			1		
5	Item	673633	3	OpenLevel219	OpenLevel249		1			1		
5	Item	673634	3	OpenLevel249	OpenLevel279		1			1		
5	Item	673635	3	OpenLevel279			1			1		
