Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Coin		1000	1000	200000				1			1		
1	1	Coin		500	500	100000				1			1		
1	1	Item	207	2	2	200000				1			1		
1	1	Item	207	1	1	100000				1			1		
1	1	YuanBao		5	5	200000				1			1		
1	1	Item	901	5	5	200000				1			1		
2	1	Coin		2000	2000	1000000				1			1		
2	2	YuanBao		20	20	1000000				1			1		
2	3	Item	209	2	2	1000000	OpenLevel39	OpenLevel49		1			1		
2	4	Item	201	6	6	1000000	OpenLevel49			1			1		
