Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	33012	8				1			1		
1	Item	901	180				1			1		
1	Item	2999	1				1			1		
1	Item	33013	8		OpenLevel139		1			1		
1	Item	33014	5		OpenLevel139		1			1		
1	Item	80000	20	OpenLevel139			1			1		
1	Item	80003	5	OpenLevel139			1			1		
2	Item	33012	6				1			1		
2	Item	901	150				1			1		
2	Item	3000	1				1			1		
2	Item	33013	6		OpenLevel139		1			1		
2	Item	33014	5		OpenLevel139		1			1		
2	Item	80000	18	OpenLevel139			1			1		
2	Item	80003	5	OpenLevel139			1			1		
3	Item	33012	5				1			1		
3	Item	901	100				1			1		
3	Item	33013	5		OpenLevel139		1			1		
3	Item	33014	5		OpenLevel139		1			1		
3	Item	80000	15	OpenLevel139			1			1		
3	Item	80003	5	OpenLevel139			1			1		
