Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	BasicExp		100				1			1		
1	Item	33011	12				1			1		
1	Item	412	3				1			1		
1	Item	33014	5				1			1		
1	Item	33000	1	OpenLevel89	OpenLevel109		1			1		
1	Item	33001	1	OpenLevel109	OpenLevel129		1			1		
1	Item	33002	1	OpenLevel129	OpenLevel149		1			1		
1	Item	33003	1	OpenLevel149	OpenLevel169		1			1		
1	Item	33004	1	OpenLevel169	OpenLevel189		1			1		
1	Item	33005	1	OpenLevel189	OpenLevel209		1			1		
1	Item	33006	1	OpenLevel209	OpenLevel229		1			1		
1	Item	33007	1	OpenLevel229	OpenLevel249		1			1		
1	Item	33008	1	OpenLevel249	OpenLevel269		1			1		
1	Item	33009	1	OpenLevel269	OpenLevel289		1			1		
1	Item	32999	1	OpenLevel289			1			1		
1	Item	20380	4		OpenLevel139		1			1		
1	Item	80300	3	OpenLevel139	OpenLevel159		1			1		
1	Item	80300	3	OpenLevel159	OpenLevel179		1			1		
1	Item	80300	3	OpenLevel179			1			1		
1	Item	80003	5	OpenLevel139			1			1		
2	BasicExp		100				1			1		
2	Item	33011	10				1			1		
2	Item	412	2				1			1		
2	Item	33014	5				1			1		
2	Item	33000	1	OpenLevel89	OpenLevel109		1			1		
2	Item	33001	1	OpenLevel109	OpenLevel129		1			1		
2	Item	33002	1	OpenLevel129	OpenLevel139		1			1		
2	Item	33003	1	OpenLevel149	OpenLevel169		1			1		
2	Item	33004	1	OpenLevel169	OpenLevel189		1			1		
2	Item	33005	1	OpenLevel189	OpenLevel209		1			1		
2	Item	33006	1	OpenLevel209	OpenLevel229		1			1		
2	Item	33007	1	OpenLevel229	OpenLevel249		1			1		
2	Item	33008	1	OpenLevel249	OpenLevel269		1			1		
2	Item	33009	1	OpenLevel269	OpenLevel289		1			1		
2	Item	32999	1	OpenLevel289			1			1		
2	Item	20380	4		OpenLevel139		1			1		
2	Item	80300	3	OpenLevel139	OpenLevel159		1			1		
2	Item	80300	3	OpenLevel159	OpenLevel179		1			1		
2	Item	80300	3	OpenLevel179			1			1		
2	Item	80003	5	OpenLevel139			1			1		
