Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	YuanBao		300	300	1000000	OpenLevel39	OpenLevel49		1			1		
1	2	JingHuo		200	200	1000000	OpenLevel39	OpenLevel49		1			1		
1	3	Item	403	2	2	1000000	OpenLevel39	OpenLevel49		1			1		
1	4	Item	210	5	5	1000000	OpenLevel39	OpenLevel49		1			1		
1	5	YuanBao		350	350	1000000	OpenLevel49	OpenLevel69		1			1		
1	6	JingHuo		200	200	1000000	OpenLevel49	OpenLevel69		1			1		
1	7	Item	403	2	2	1000000	OpenLevel49	OpenLevel69		1			1		
1	8	Item	210	5	5	1000000	OpenLevel49	OpenLevel69		1			1		
1	9	YuanBao		400	400	1000000	OpenLevel69			1			1		
1	10	JingHuo		200	200	1000000	OpenLevel69			1			1		
1	11	Item	403	2	2	1000000	OpenLevel69			1			1		
1	12	Item	210	5	5	1000000	OpenLevel69			1			1		
2	1	Item	901	300	300	1000000	OpenLevel39	OpenLevel49		1			1		
2	2	Item	31001	20	20	1000000	OpenLevel39	OpenLevel49		1			1		
2	3	Item	31462	4	4	1000000	OpenLevel39	OpenLevel49		1			1		
2	4	Item	201	15	15	1000000	OpenLevel39	OpenLevel49		1			1		
2	5	Item	901	300	300	1000000	OpenLevel49	OpenLevel69		1			1		
2	6	Item	31001	20	20	1000000	OpenLevel49	OpenLevel69		1			1		
2	7	Item	31462	5	5	1000000	OpenLevel49	OpenLevel69		1			1		
2	8	Item	201	20	20	1000000	OpenLevel49	OpenLevel69		1			1		
2	9	Item	901	300	300	1000000	OpenLevel69			1			1		
2	10	Item	31001	20	20	1000000	OpenLevel69			1			1		
2	11	Item	31462	6	6	1000000	OpenLevel69			1			1		
2	12	Item	201	20	20	1000000	OpenLevel69			1			1		
3	1	Item	201	100	100	1000000	OpenLevel39	OpenLevel49		1			1		
3	2	Item	403	10	10	1000000	OpenLevel39	OpenLevel49		1			1		
3	3	JingHuo		1000	1000	1000000	OpenLevel39	OpenLevel49		1			1		
3	4	Item	209	50	50	1000000	OpenLevel39	OpenLevel49		1			1		
3	5	Item	201	100	100	1000000	OpenLevel49	OpenLevel69		1			1		
3	6	Item	403	10	10	1000000	OpenLevel49	OpenLevel69		1			1		
3	7	JingHuo		1000	1000	1000000	OpenLevel49	OpenLevel69		1			1		
3	8	Item	412	20	20	1000000	OpenLevel49	OpenLevel69		1			1		
3	9	Item	202	40	40	1000000	OpenLevel69			1			1		
3	10	Item	403	10	10	1000000	OpenLevel69			1			1		
3	11	JingHuo		1000	1000	1000000	OpenLevel69			1			1		
3	12	Item	412	20	20	1000000	OpenLevel69			1			1		
4	1	YuanBao		1	1	1000000
4	2	JingHuo		1	1	1000000
4	3	Item	403	1	1	1000000
4	4	Item	210	1	1	1000000
4	5	Item	901	1	1	1000000
4	6	Item	31001	1	1	1000000
4	7	Item	31462	1	1	1000000
4	8	Item	201	1	1	1000000
5	1	Item	901	1300	1300	1000000	OpenLevel39	OpenLevel49		1			1		
5	2	Item	211	10	10	1000000	OpenLevel39	OpenLevel49		1			1		
5	3	Item	31413	2	2	1000000	OpenLevel39	OpenLevel49		1			1		
5	4	Item	31566	1	1	1000000	OpenLevel39	OpenLevel49		1			1		
5	5	Item	901	1300	1300	1000000	OpenLevel49	OpenLevel69		1			1		
5	6	Item	31001	150	150	1000000	OpenLevel49	OpenLevel69		1			1		
5	7	Item	31413	3	3	1000000	OpenLevel49	OpenLevel69		1			1		
5	8	Item	31565	1	1	1000000	OpenLevel49	OpenLevel69		1			1		
5	9	Item	211	10	10	1000000	OpenLevel69			1			1		
5	10	Item	31001	150	150	1000000	OpenLevel69			1			1		
5	11	Item	640	3	3	1000000	OpenLevel69			1			1		
5	12	Item	31561	1	1	1000000	OpenLevel69			1			1		
6	1	YuanBao		300	300	1000000									
6	2	JingHuo		200	200	1000000									
6	3	Item	403	2	2	1000000									
6	4	Item	210	5	5	1000000									
7	1	YuanBao		350	350	1000000									
7	2	JingHuo		200	200	1000000									
7	3	Item	403	2	2	1000000									
7	4	Item	210	5	5	1000000									
8	1	YuanBao		400	400	1000000									
8	2	JingHuo		200	200	1000000									
8	3	Item	403	2	2	1000000									
8	4	Item	210	5	5	1000000									
9	1	Item	901	300	300	1000000									
9	2	Item	31001	20	20	1000000									
9	3	Item	31462	4	4	1000000									
9	4	Item	201	15	15	1000000									
10	1	Item	901	300	300	1000000									
10	2	Item	31001	20	20	1000000									
10	3	Item	31462	5	5	1000000									
10	4	Item	201	20	20	1000000									
11	1	Item	901	300	300	1000000									
11	2	Item	31001	20	20	1000000									
11	3	Item	31462	6	6	1000000									
11	4	Item	201	20	20	1000000									
12	1	Item	201	100	100	1000000									
12	2	Item	403	10	10	1000000									
12	3	JingHuo		1000	1000	1000000									
12	4	Item	209	50	50	1000000									
13	1	Item	201	100	100	1000000									
13	2	Item	403	10	10	1000000									
13	3	JingHuo		1000	1000	1000000									
13	4	Item	412	20	20	1000000									
14	1	Item	202	40	40	1000000									
14	2	Item	403	10	10	1000000									
14	3	JingHuo		1000	1000	1000000									
14	4	Item	412	20	20	1000000									
15	1	Item	901	1300	1300	1000000									
15	2	Item	211	10	10	1000000									
15	3	Item	31413	2	2	1000000									
15	4	Item	31566	1	1	1000000									
16	1	Item	901	1300	1300	1000000									
16	2	Item	31001	150	150	1000000									
16	3	Item	31413	3	3	1000000									
16	4	Item	31565	1	1	1000000									
17	1	Item	211	10	10	1000000									
17	2	Item	31001	150	150	1000000									
17	3	Item	640	3	3	1000000									
17	4	Item	31561	1	1	1000000									
