Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	1138	3				1			1		2023-07-03 03:59:59
1	Item	31600	2				1			1		
1	Item	31601	1				1			1		
1	Coin		3000				1			1		
2	Item	1138	2				1			1		2023-07-03 03:59:59
2	Item	31600	2				1			1		
2	Item	31601	1				1			1		
2	Coin		2000				1			1		
3	Item	1138	2				1			1		2023-07-03 03:59:59
3	Item	31600	2				1			1		
3	Coin		2000				1			1		
4	Item	1138	1				1			1		2023-07-03 03:59:59
4	Item	31600	1				1			1		
4	Item	31601	1				1			1		
4	Coin		1500				1			1		
5	Item	1138	1				1			1		2023-07-03 03:59:59
5	Item	31600	1				1			1		
5	Item	31601	1				1			1		
5	Coin		1500				1			1		
6	Item	1138	1				1			1		2023-07-03 03:59:59
6	Item	31600	1				1			1		
6	Coin		1000				1			1		
7	Item	31601	1				1			1		
7	Coin		1000				1			1		
8	Item	31601	1				1			1		
8	Coin		1000				1			1		
9	Item	201	300	OpenLevel39	OpenLevel59		1			1		
9	Item	211	5	OpenLevel39	OpenLevel59		1			1		
9	Item	650202	1	OpenLevel39	OpenLevel59		1			1		
9	Item	324	30	OpenLevel59			1			1		
9	Item	211	5	OpenLevel59			1			1		
9	Item	650202	1	OpenLevel59			1			1		
10	Item	201	200	OpenLevel39	OpenLevel59		1			1		
10	Item	211	4	OpenLevel39	OpenLevel59		1			1		
10	Item	650215	1	OpenLevel39	OpenLevel59		1			1		
10	Item	324	20	OpenLevel59			1			1		
10	Item	211	4	OpenLevel59			1			1		
10	Item	650215	1	OpenLevel59			1			1		
11	Item	201	150	OpenLevel39	OpenLevel59		1			1		
11	Item	211	3	OpenLevel39	OpenLevel59		1			1		
11	Item	650215	1	OpenLevel39	OpenLevel59		1			1		
11	Item	324	15	OpenLevel59			1			1		
11	Item	211	3	OpenLevel59			1			1		
11	Item	650215	1	OpenLevel59			1			1		
12	Item	201	100	OpenLevel39	OpenLevel59		1			1		
12	Item	211	2	OpenLevel39	OpenLevel59		1			1		
12	Item	324	10	OpenLevel59			1			1		
12	Item	211	2	OpenLevel59			1			1		
13	Item	201	80	OpenLevel39	OpenLevel59		1			1		
13	Item	211	1	OpenLevel39	OpenLevel59		1			1		
13	Item	324	8	OpenLevel59			1			1		
13	Item	211	1	OpenLevel59			1			1		
14	Item	201	50	OpenLevel39	OpenLevel59		1			1		
14	Item	209	10	OpenLevel39	OpenLevel59		1			1		
14	Item	324	5	OpenLevel59			1			1		
14	Item	209	10	OpenLevel59			1			1		
15	Item	201	50	OpenLevel39	OpenLevel59		1			1		
15	Item	209	5	OpenLevel39	OpenLevel59		1			1		
15	Item	324	5	OpenLevel59			1			1		
15	Item	209	5	OpenLevel59			1			1		
16	Item	31600	10				1			1		
17	Item	31600	6				1			1		
18	Item	31600	4				1			1		
19	Item	31601	4				1			1		
20	Item	1138	1									
20	Item	650202	1									
20	Item	650215	1									
20	Item	31600	1									
20	Item	31601	1									
20	Item	324	1	OpenLevel59								
20	Item	211	1									
20	Item	209	1									
20	Item	201	1									
