Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	30706	1									
1	Item	30703	1									
1	Item	30702	1									
1	Item	2007	1									
1	Item	31091	1									
1	Item	30704	1									
1	Item	30705	1									
1	Item	211	1									
1	Item	324	1	OpenLevel59								
1	Item	30701	1									
1	Item	30700	1									
1	Item	202	1	OpenLevel59								
1	Item	412	1	OpenLevel49								
1	Item	31001	1	OpenLevel49								
1	Item	31423	1									
1	Item	201	1	OpenDay2B								
1	Item	3002	1									
1	Item	30706	1									
2	Item	30703	1									
2	Item	30702	1									
2	Item	2007	1									
2	Item	30704	1									
2	Item	30705	1									
2	Item	413	1									
2	Item	3006	1									
2	Item	213	1									
2	Item	211	1									
2	Item	202	1									
2	Item	324	1									
2	Item	412	1									
2	Item	31423	1									
2	Item	31091	1									
2	Item	31001	1									
2	Item	201	1									
2	Item	3002	1									
2	Item	2005	1									
2	Item	30701	1									
2	Item	30700	1									
3	Item	30703	1									
3	Item	30702	1									
3	Item	2007	1									
3	Item	30704	1									
3	Item	30705	1									
3	Item	213	1									
3	Item	211	1									
3	Item	506	1									
3	Item	403	1									
3	Item	20383	1									
3	Item	20381	1									
3	Item	33018	1									
3	Item	3006	1									
3	Item	30701	1									
3	Item	30700	1									
3	Item	31001	1									
3	Item	201	1									
3	Item	3002	1									
3	Item	31423	1									
3	Item	31091	1									
3	Item	202	1									
3	Item	2005	1									
3	Item	412	1									
4	Item	30703	1									
4	Item	30702	1									
4	Item	2007	1									
4	Item	30704	1									
4	Item	30705	1									
4	Item	213	1									
4	Item	211	1									
4	Item	413	1									
4	Item	506	1									
4	Item	403	1									
4	Item	20383	1									
4	Item	33018	1									
4	Item	671603	1									
4	Item	33018	1									
4	Item	3006	1									
4	Item	30701	1									
4	Item	30700	1									
4	Item	31001	1									
4	Item	201	1									
4	Item	3002	1									
4	Item	31423	1									
4	Item	31091	1									
4	Item	202	1									
4	Item	2005	1									
