Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	YuanBao		200	200	1000000				1			1		
1	2	JingHuo		300	300	1000000				1			1		
1	3	Item	403	3	3	1000000				1			1		
1	4	Item	210	4	4	1000000				1			1		
2	1	Item	901	200	200	1000000				1			1		
2	2	Item	3006	5	5	1000000				1			1		
2	3	Item	31001	5	5	1000000				1			1		
2	4	Item	201	10	10	1000000				1			1		
3	1	Item	201	50	50	1000000	OpenLevel39	OpenLevel49		1			1		
3	2	Item	403	15	15	1000000	OpenLevel39	OpenLevel49		1			1		
3	3	Item	31001	50	50	1000000	OpenLevel39	OpenLevel49		1			1		
3	4	Item	209	40	40	1000000	OpenLevel39	OpenLevel49		1			1		
3	5	Item	201	50	50	1000000	OpenLevel49	OpenLevel69		1			1		
3	6	Item	403	15	15	1000000	OpenLevel49	OpenLevel69		1			1		
3	7	Item	31001	50	50	1000000	OpenLevel49	OpenLevel69		1			1		
3	8	Item	412	12	12	1000000	OpenLevel49	OpenLevel69		1			1		
3	9	Item	403	15	15	1000000	OpenLevel69			1			1		
3	10	Item	31001	50	50	1000000	OpenLevel69			1			1		
3	11	Item	412	12	12	1000000	OpenLevel69			1			1		
3	12	Item	202	12	12	1000000	OpenLevel69			1			1		
4	1	Item	901	1000	1000	1000000	OpenLevel39	OpenLevel49		1			1		
4	2	Item	31413	5	5	1000000	OpenLevel39	OpenLevel49		1			1		
4	3	Item	211	10	10	1000000	OpenLevel39	OpenLevel49		1			1		
4	4	Item	31566	1	1	1000000	OpenLevel39	OpenLevel49		1			1		
4	5	Item	901	1000	1000	1000000	OpenLevel49	OpenLevel59		1			1		
4	6	Item	31413	5	5	1000000	OpenLevel49	OpenLevel59		1			1		
4	7	Item	211	10	10	1000000	OpenLevel49	OpenLevel59		1			1		
4	8	Item	31565	1	1	1000000	OpenLevel49	OpenLevel59		1			1		
4	9	Item	901	1000	1000	1000000	OpenLevel59	OpenLevel69		1			1		
4	10	Item	31413	5	5	1000000	OpenLevel59	OpenLevel69		1			1		
4	11	Item	211	10	10	1000000	OpenLevel59	OpenLevel69		1			1		
4	12	Item	31588	1	1	1000000	OpenLevel59	OpenLevel69		1			1		
4	13	Item	901	1000	1000	1000000	OpenLevel69	OpenLevel79		1			1		
4	14	Item	211	10	10	1000000	OpenLevel69	OpenLevel79		1			1		
4	15	Item	31414	1	1	1000000	OpenLevel69	OpenLevel79		1			1		
4	16	Item	31561	1	1	1000000	OpenLevel69	OpenLevel79		1			1		
4	17	Item	901	1000	1000	1000000	OpenLevel79	OpenLevel89		1			1		
4	18	Item	211	10	10	1000000	OpenLevel79	OpenLevel89		1			1		
4	19	Item	31414	1	1	1000000	OpenLevel79	OpenLevel89		1			1		
4	20	Item	31589	1	1	1000000	OpenLevel79	OpenLevel89		1			1		
4	21	Item	901	1000	1000	1000000	OpenLevel89			1			1		
4	22	Item	211	10	10	1000000	OpenLevel89			1			1		
4	23	Item	31414	1	1	1000000	OpenLevel89			1			1		
4	24	Item	31612	1	1	1000000	OpenLevel89			1			1		
5	1	JingHuo		1000	1000	1000000	OpenLevel39	OpenLevel69		1			1		
5	2	Item	506	10	10	1000000	OpenLevel39	OpenLevel69		1			1		
5	3	Item	213	1	1	1000000	OpenLevel39	OpenLevel69		1			1		
5	4	Item	650243	1	1	1000000	OpenLevel39	OpenLevel69		1			1		
5	5	Item	640	2	2	1000000	OpenLevel69			1			1		
5	6	Item	31613	100	100	1000000	OpenLevel69			1			1		
5	7	Item	213	1	1	1000000	OpenLevel69			1			1		
5	8	Item	650243	1	1	1000000	OpenLevel69			1			1		
6	1	Item	31578	1	1	1000000	OpenLevel39	OpenLevel49		1			1		
6	2	Item	650243	2	2	1000000	OpenLevel39	OpenLevel49		1			1		
6	3	Item	650242	1	1	1000000	OpenLevel39	OpenLevel49		1			1		
