Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	YuanBao		300	300	1000000	OpenLevel39	OpenLevel49		1			1		
1	2	JingHuo		200	200	1000000	OpenLevel39	OpenLevel49		1			1		
1	3	Item	403	3	3	1000000	OpenLevel39	OpenLevel49		1			1		
1	4	Item	210	5	5	1000000	OpenLevel39	OpenLevel49		1			1		
1	5	YuanBao		300	300	1000000	OpenLevel49	OpenLevel69		1			1		
1	6	JingHuo		200	200	1000000	OpenLevel49	OpenLevel69		1			1		
1	7	Item	403	3	3	1000000	OpenLevel49	OpenLevel69		1			1		
1	8	Item	210	6	6	1000000	OpenLevel49	OpenLevel69		1			1		
1	9	YuanBao		300	300	1000000	OpenLevel69			1			1		
1	10	JingHuo		200	200	1000000	OpenLevel69			1			1		
1	11	Item	403	3	3	1000000	OpenLevel69			1			1		
1	12	Item	210	6	6	1000000	OpenLevel69			1			1		
2	1	Item	901	200	200	1000000	OpenLevel39	OpenLevel49		1			1		
2	2	Item	3006	5	5	1000000	OpenLevel39	OpenLevel49		1			1		
2	3	Item	31462	1	1	1000000	OpenLevel39	OpenLevel49		1			1		
2	4	Item	201	15	15	1000000	OpenLevel39	OpenLevel49		1			1		
2	5	Item	901	200	200	1000000	OpenLevel49	OpenLevel69		1			1		
2	6	Item	3006	5	5	1000000	OpenLevel49	OpenLevel69		1			1		
2	7	Item	31462	1	1	1000000	OpenLevel49	OpenLevel69		1			1		
2	8	Item	201	15	15	1000000	OpenLevel49	OpenLevel69		1			1		
2	9	Item	901	200	200	1000000	OpenLevel69			1			1		
2	10	Item	3006	5	5	1000000	OpenLevel69			1			1		
2	11	Item	31462	1	1	1000000	OpenLevel69			1			1		
2	12	Item	201	20	20	1000000	OpenLevel69			1			1		
3	1	Item	201	50	50	1000000	OpenLevel39	OpenLevel49		1			1		
3	2	Item	403	15	15	1000000	OpenLevel39	OpenLevel49		1			1		
3	3	Item	31001	50	50	1000000	OpenLevel39	OpenLevel49		1			1		
3	4	Item	209	30	30	1000000	OpenLevel39	OpenLevel49		1			1		
3	5	Item	201	50	50	1000000	OpenLevel49	OpenLevel69		1			1		
3	6	Item	403	15	15	1000000	OpenLevel49	OpenLevel69		1			1		
3	7	Item	31001	50	50	1000000	OpenLevel49	OpenLevel69		1			1		
3	8	Item	412	10	10	1000000	OpenLevel49	OpenLevel69		1			1		
3	9	Item	403	15	15	1000000	OpenLevel69			1			1		
3	10	Item	31001	50	50	1000000	OpenLevel69			1			1		
3	11	Item	412	10	10	1000000	OpenLevel69			1			1		
3	12	Item	202	20	20	1000000	OpenLevel69			1			1		
4	1	Item	901	1000	1000	1000000	OpenLevel39	OpenLevel49		1			1		
4	2	Item	31413	5	5	1000000	OpenLevel39	OpenLevel49		1			1		
4	3	Item	211	10	10	1000000	OpenLevel39	OpenLevel49		1			1		
4	4	Item	31566	1	1	1000000	OpenLevel39	OpenLevel49		1			1		
4	5	Item	901	1000	1000	1000000	OpenLevel49	OpenLevel59		1			1		
4	6	Item	31413	5	5	1000000	OpenLevel49	OpenLevel59		1			1		
4	7	Item	211	10	10	1000000	OpenLevel49	OpenLevel59		1			1		
4	8	Item	31565	1	1	1000000	OpenLevel49	OpenLevel59		1			1		
4	9	Item	901	1200	1200	1000000	OpenLevel59	OpenLevel69		1			1		
4	10	Item	31413	5	5	1000000	OpenLevel59	OpenLevel69		1			1		
4	11	Item	211	10	10	1000000	OpenLevel59	OpenLevel69		1			1		
4	12	Item	31588	1	1	1000000	OpenLevel59	OpenLevel69		1			1		
4	13	Item	901	1200	1200	1000000	OpenLevel69	OpenLevel79		1			1		
4	14	Item	211	10	10	1000000	OpenLevel69	OpenLevel79		1			1		
4	15	Item	31414	1	1	1000000	OpenLevel69	OpenLevel79		1			1		
4	16	Item	31561	1	1	1000000	OpenLevel69	OpenLevel79		1			1		
4	17	Item	901	1200	1200	1000000	OpenLevel79			1			1		
4	18	Item	211	10	10	1000000	OpenLevel79			1			1		
4	19	Item	31414	1	1	1000000	OpenLevel79			1			1		
4	20	Item	31589	1	1	1000000	OpenLevel79			1			1		
5	1	YuanBao		300	300	1000000									
5	2	JingHuo		200	200	1000000									
5	3	Item	403	3	3	1000000									
5	4	Item	210	5	5	1000000									
6	1	YuanBao		300	300	1000000									
6	2	JingHuo		200	200	1000000									
6	3	Item	403	3	3	1000000									
6	4	Item	210	6	6	1000000									
7	1	YuanBao		300	300	1000000									
7	2	JingHuo		200	200	1000000									
7	3	Item	403	3	3	1000000									
7	4	Item	210	6	6	1000000									
8	1	Item	901	200	200	1000000									
8	2	Item	3006	5	5	1000000									
8	3	Item	31462	1	1	1000000									
8	4	Item	201	15	15	1000000									
9	1	Item	901	200	200	1000000									
9	2	Item	3006	5	5	1000000									
9	3	Item	31462	1	1	1000000									
9	4	Item	201	15	15	1000000									
10	1	Item	901	200	200	1000000									
10	2	Item	3006	5	5	1000000									
10	3	Item	31462	1	1	1000000									
10	4	Item	201	20	20	1000000									
11	1	Item	201	50	50	1000000									
11	2	Item	403	15	15	1000000									
11	3	Item	31001	50	50	1000000									
11	4	Item	209	30	30	1000000									
12	1	Item	201	50	50	1000000									
12	2	Item	403	15	15	1000000									
12	3	Item	31001	50	50	1000000									
12	4	Item	412	10	10	1000000									
13	1	Item	403	15	15	1000000									
13	2	Item	31001	50	50	1000000									
13	3	Item	412	10	10	1000000									
13	4	Item	202	20	20	1000000									
14	1	Item	901	1000	1000	1000000									
14	2	Item	31413	5	5	1000000									
14	3	Item	211	10	10	1000000									
14	4	Item	31566	1	1	1000000									
15	1	Item	901	1000	1000	1000000									
15	2	Item	31413	5	5	1000000									
15	3	Item	211	10	10	1000000									
15	4	Item	31565	1	1	1000000									
16	1	Item	901	1200	1200	1000000									
16	2	Item	31413	5	5	1000000									
16	3	Item	211	10	10	1000000									
16	4	Item	31588	1	1	1000000									
17	1	Item	901	1200	1200	1000000									
17	2	Item	211	10	10	1000000									
17	3	Item	31414	1	1	1000000									
17	4	Item	31561	1	1	1000000									
18	1	Item	901	1200	1200	1000000									
18	2	Item	211	10	10	1000000									
18	3	Item	31414	1	1	1000000									
18	4	Item	31589	1	1	1000000									
