Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	324										
1	Item	915			OpenLevel89	1	1					
1	Item	916			OpenLevel99	1	1					
1	Item	917		OpenLevel89	OpenLevel109	1	1					
1	Item	905		OpenLevel99	OpenLevel129	1	1					
1	Item	906		OpenLevel109	OpenLevel149	1	1					
1	Item	918		OpenLevel129	OpenLevel169	1	1					
1	Item	919		OpenLevel149	OpenLevel189	1	1					
1	Item	920		OpenLevel169	OpenLevel209	1	1					
1	Item	907		OpenLevel189	OpenLevel229	1	1					
1	Item	923		OpenLevel209	OpenLevel249	1	1					
1	Item	924		OpenLevel229	OpenLevel269	1	1					
1	Item	925		OpenLevel249	OpenLevel289	1	1					
1	Item	926		OpenLevel269		1	1					
1	Item	927		OpenLevel289		1	1					
1	Item	31562				1	1					
1	Item	31563				1	1					
1	Item	3698		OpenLevel299		1	1					
1	Item	3668		OpenLevel299		1	1					
1	Item	3697		OpenLevel289		1	1					
1	Item	3667		OpenLevel289		1	1					
1	Item	3696		OpenLevel279	OpenLevel299	1	1					
1	Item	3666		OpenLevel279	OpenLevel299	1	1					
1	Item	3695		OpenLevel269	OpenLevel289	1	1					
1	Item	3665		OpenLevel269	OpenLevel289	1	1					
1	Item	3694		OpenLevel259	OpenLevel279	1	1					
1	Item	3664		OpenLevel259	OpenLevel279	1	1					
1	Item	3693		OpenLevel249	OpenLevel269	1	1					
1	Item	3663		OpenLevel249	OpenLevel269	1	1					
1	Item	3692		OpenLevel239	OpenLevel259	1	1					
1	Item	3662		OpenLevel239	OpenLevel259	1	1					
1	Item	3691		OpenLevel229	OpenLevel249	1	1					
1	Item	3661		OpenLevel229	OpenLevel249	1	1					
1	Item	3690		OpenLevel219	OpenLevel239	1	1					
1	Item	3660		OpenLevel219	OpenLevel239	1	1					
1	Item	3689		OpenLevel209	OpenLevel229	1	1					
1	Item	3659		OpenLevel209	OpenLevel229	1	1					
1	Item	3600		OpenLevel199	OpenLevel219	1	1					
1	Item	3576		OpenLevel199	OpenLevel219	1	1					
1	Item	3599		OpenLevel189	OpenLevel209	1	1					
1	Item	3575		OpenLevel189	OpenLevel209	1	1					
1	Item	3598		OpenLevel179	OpenLevel199	1	1					
1	Item	3574		OpenLevel179	OpenLevel199	1	1					
1	Item	3597		OpenLevel169	OpenLevel189	1	1					
1	Item	3573		OpenLevel169	OpenLevel189	1	1					
1	Item	3596		OpenLevel159	OpenLevel179	1	1					
1	Item	3572		OpenLevel159	OpenLevel179	1	1					
1	Item	3595		OpenLevel149	OpenLevel169	1	1					
1	Item	3571		OpenLevel149	OpenLevel169	1	1					
1	Item	3594		OpenLevel139	OpenLevel159	1	1					
1	Item	3570		OpenLevel139	OpenLevel159	1	1					
1	Item	3593		OpenLevel129	OpenLevel149	1	1					
1	Item	3569		OpenLevel129	OpenLevel149	1	1					
1	Item	379		OpenLevel119	OpenLevel139	1	1					
1	Item	366		OpenLevel119	OpenLevel139	1	1					
1	Item	378		OpenLevel109	OpenLevel129	1	1					
1	Item	365		OpenLevel109	OpenLevel129	1	1					
1	Item	377		OpenLevel99	OpenLevel119	1	1					
1	Item	364		OpenLevel99	OpenLevel119	1	1					
1	Item	376		OpenLevel89	OpenLevel109	1	1					
1	Item	363		OpenLevel89	OpenLevel109	1	1					
1	Item	362			OpenLevel99	1	1					
1	ZhuLuRepute											
1	Item	31002										
1	Item	31003										
1	Item	31004										
1	Item	31005										
1	Item	31006										
1	Item	20380										
1	Item	503		OpenLevel79	OpenLevel99							
1	Item	504		OpenLevel99	OpenLevel129							
1	Item	505		OpenLevel129	OpenLevel159							
1	Item	500		OpenLevel159	OpenLevel189							
1	Item	499		OpenLevel189	OpenLevel219							
1	Item	760		OpenLevel219	OpenLevel249							
1	Item	761		OpenLevel249	OpenLevel279							
1	Item	762		OpenLevel279								
