Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	901	100				1			1		
1	Item	201	30				1			1		
1	Item	33010	7	OpenLevel89			1			1		
2	Item	901	200				1			1		
2	Item	201	40				1			1		
2	Item	33010	10	OpenLevel89			1			1		
3	Item	901	250				1			1		
3	Item	201	70				1			1		
3	Item	33010	17	OpenLevel89			1			1		
4	Item	901	300				1			1		
4	Item	201	90				1			1		
4	Item	33010	22	OpenLevel89			1			1		
5	Item	901	350				1			1		
5	Item	201	110				1			1		
5	Item	33010	27	OpenLevel89			1			1		
6	Item	901	400				1			1		
6	Item	201	140				1			1		
6	Item	33010	35	OpenLevel89			1			1		
101	Item	901	20				1			1		
101	Item	201	10				1			1		
101	Item	33010	2	OpenLevel89			1			1		
102	Item	901	35				1			1		
102	Item	201	15				1			1		
102	Item	33010	3	OpenLevel89			1			1		
103	Item	901	50				1			1		
103	Item	201	20				1			1		
103	Item	33010	5	OpenLevel89			1			1		
104	Item	901	70				1			1		
104	Item	201	25				1			1		
104	Item	33010	6	OpenLevel89			1			1		
105	Item	901	100				1			1		
105	Item	201	35				1			1		
105	Item	33010	8	OpenLevel89			1			1		
106	Item	901	135				1			1		
106	Item	201	50				1			1		
106	Item	33010	12	OpenLevel89			1			1		
