Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Item	3002	8	8	1000000				1			1		
1	2	Item	674063	1	1	1000000				1			1		
1	3	Coin		6000	6000	1000000				1			1		
1	4	Item	31412	1	1	30000				1			1		
2	1	Item	3002	10	10	1000000				1			1		
2	2	Item	674063	1	1	1000000				1			1		
2	3	Coin		8000	8000	1000000				1			1		
2	4	Item	31412	1	1	50000				1			1		
3	1	Item	3002	12	12	1000000				1			1		
3	2	Item	674063	1	1	1000000				1			1		
3	3	Coin		10000	10000	1000000				1			1		
3	4	Item	31412	1	1	80000				1			1		
3	5	Item	674191	1	1	20000				1			1		
4	1	Item	3002	15	15	1000000				1			1		
4	2	Item	674063	1	1	1000000				1			1		
4	3	Coin		12000	12000	1000000				1			1		
4	4	Item	31412	1	1	120000				1			1		
4	5	Item	674190	1	1	20000				1			1		
5	1	Item	3002	8	8	1000000				1			1		
5	2	Item	674063	1	1	1000000				1			1		
5	3	Coin		6000	6000	1000000				1			1		
5	4	Item	31412	1	1	30000				1			1		
5	5	Item	3009	1	1	1000000				1			1		
6	1	Item	3002	10	10	1000000				1			1		
6	2	Item	674063	1	1	1000000				1			1		
6	3	Coin		8000	8000	1000000				1			1		
6	4	Item	31412	1	1	50000				1			1		
6	5	Item	3009	1	1	1000000				1			1		
7	1	Item	3002	12	12	1000000				1			1		
7	2	Item	674063	1	1	1000000				1			1		
7	3	Coin		10000	10000	1000000				1			1		
7	4	Item	31412	1	1	80000				1			1		
7	5	Item	674191	1	1	20000				1			1		
7	6	Item	3009	1	1	1000000				1			1		
7	7	Item	3014	1	1	150000				1			1		
8	1	Item	3002	15	15	1000000				1			1		
8	2	Item	674063	1	1	1000000				1			1		
8	3	Coin		12000	12000	1000000				1			1		
8	4	Item	31412	1	1	120000				1			1		
8	5	Item	674190	1	1	20000				1			1		
8	6	Item	3009	1	1	1000000				1			1		
8	7	Item	3014	1	1	200000				1			1		
9	1	Item	3022	5	5	1000000				1			1		
9	2	Item	674063	1	1	1000000				1			1		
9	3	Item	2505	4	4	1000000				1			1		
9	4	Item	674301	1	1	800000				1			1		
9	5	Item	3009	1	1	1000000				1			1		
10	1	Item	3022	5	5	1000000				1			1		
10	2	Item	674063	1	1	1000000				1			1		
10	3	Item	2505	5	5	1000000				1			1		
10	4	Item	674301	1	1	1000000				1			1		
10	5	Item	3009	1	1	1000000				1			1		
11	1	Item	3022	6	6	1000000				1			1		
11	2	Item	674063	1	1	1000000				1			1		
11	3	Item	2505	5	5	1000000				1			1		
11	4	Item	674301	1	1	1000000				1			1		
11	5	Item	674191	1	1	20000				1			1		
11	6	Item	3009	1	1	1000000				1			1		
11	7	Item	3014	1	1	150000				1			1		
12	1	Item	3022	6	6	1000000				1			1		
12	2	Item	674063	1	1	1000000				1			1		
12	3	Item	2505	6	6	1000000				1			1		
12	4	Item	674301	1	1	1000000				1			1		
12	5	Item	674190	1	1	20000				1			1		
12	6	Item	3009	1	1	1000000				1			1		
12	7	Item	3014	1	1	200000				1			1		
1001	1	KinContrib		600	600	1000000				1			1		
1002	1	KinContrib		600	600	1000000				1			1		
1002	2	Item	2505	2	2	1000000				1			1		
2001	1	Item	674302	1	1	1000000				1			1		
2001	2	Coin		6000	6000	1000000				1			1		
2002	1	Item	674303	1	1	1000000				1			1		
2002	2	Coin		8000	8000	1000000				1			1		
2003	1	Item	674198	1	1	1000000				1			1		
2003	2	Item	674304	1	1	1000000				1			1		
2003	3	Coin		10000	10000	1000000				1			1		
2004	1	Item	674197	1	1	1000000				1			1		
2004	2	Item	674305	1	1	1000000				1			1		
2004	3	Coin		12000	12000	1000000				1			1		
2005	1	Item	674306	1	1	1000000				1			1		
