Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut		Desc
1	Item	212	10				1			1				玄晶10
1	Coin		8888				1			1				银两8888
2	Item	888	18				1			1				天山玉露18
2	Item	1929	1				1			1				白驹丸1
3	Item	212	168				1			1				玄晶168
3	Coin		88888				1			1				银两88888
3	Item	888	18				1			1				天山玉露18
4	Item	2431	3				1			1				秘籍要诀十全盒3
4	Item	212	88				1			1				玄晶88
5	Item	400008	10				1			1				8级器魂10
5	Item	30517	1				1			1				黄金装备重随符1
5	Item	30101	8				1			1				补天石8
6	Item	400009	10				1			1				9级器魂10
6	Item	2433	1				1			1				随机绝品要诀1
6	Item	30101	20				1			1				补天石20
6	Item	30516	1				1			1				绝品装备重随符1
6	Item	30517	1				1			1				黄金装备重随符1
7	Item	212	18				1			1				玄晶18
7	Coin		28888				1			1				银两28888
8	Gold		168				1			1				金币168
8	Item	212	48				1			1				玄晶48
9	Gold		368				1			1				金币368
9	Item	212	48				1			1				玄晶48
9	Item	888	8				1			1				天山玉露8
10	Gold		468				1			1				金币468
10	Item	212	78				1			1				玄晶78
10	Item	888	18				1			1				天山玉露18
11	Gold		688				1			1				金币688
11	Item	212	138				1			1				玄晶138
11	Item	888	28				1			1				天山玉露28
11	Coin		168888				1			1				银两168888
12	Gold		888				1			1				金币888
12	Item	212	168				1			1				玄晶168
12	Item	888	68				1			1				天山玉露68
12	Coin		688888				1			1				银两688888
