Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
3	1	Coin		10000	10000	50000			1	1					
3	1	Coin		4000	4000	300000			1	1					
3	1	Coin		2000	2000	650000			1	1					
3	2	Contrib		1000	1000	20000			1	1					
3	2	Contrib		200	200	330000			1	1					
3	2	Contrib		100	100	650000			1	1					
4	1	Coin		10000	10000	50000			1	1					
4	1	Coin		4000	4000	300000			1	1					
4	1	Coin		2000	2000	650000			1	1					
4	2	Contrib		1000	1000	20000			1	1					
4	2	Contrib		200	200	330000			1	1					
4	2	Contrib		100	100	650000			1	1					
5	1	Coin		10000	10000	50000			1	1					
5	1	Coin		4000	4000	300000			1	1					
5	1	Coin		2000	2000	650000			1	1					
5	2	Contrib		1000	1000	20000			1	1					
5	2	Contrib		200	200	330000			1	1					
5	2	Contrib		100	100	650000			1	1					
6	1	Coin		10000	10000	50000			1	1					
6	1	Coin		4000	4000	300000			1	1					
6	1	Coin		2000	2000	650000			1	1					
6	2	Contrib		1000	1000	20000			1	1					
6	2	Contrib		200	200	330000			1	1					
6	2	Contrib		100	100	650000			1	1					
7	1	Coin		10000	10000	50000			1	1					
7	1	Coin		4000	4000	300000			1	1					
7	1	Coin		2000	2000	650000			1	1					
7	2	Contrib		1000	1000	20000			1	1					
7	2	Contrib		200	200	330000			1	1					
7	2	Contrib		100	100	650000			1	1					
8	1	Coin		10000	10000	50000			1	1					
8	1	Coin		4000	4000	300000			1	1					
8	1	Coin		2000	2000	650000			1	1					
8	2	Contrib		1000	1000	20000			1	1					
8	2	Contrib		200	200	330000			1	1					
8	2	Contrib		100	100	650000			1	1					
9	1	Coin		10000	10000	50000			1	1					
9	1	Coin		4000	4000	300000			1	1					
9	1	Coin		2000	2000	650000			1	1					
9	2	Contrib		1000	1000	20000			1	1					
9	2	Contrib		200	200	330000			1	1					
9	2	Contrib		100	100	650000			1	1					
10	1	Coin		10000	10000	50000			1	1					
10	1	Coin		4000	4000	300000			1	1					
10	1	Coin		2000	2000	650000			1	1					
10	2	Contrib		1000	1000	20000			1	1					
10	2	Contrib		200	200	330000			1	1					
10	2	Contrib		100	100	650000			1	1					
11	1	Coin		10000	10000	50000			1	1					
11	1	Coin		4000	4000	300000			1	1					
11	1	Coin		2000	2000	650000			1	1					
11	2	Contrib		1000	1000	20000			1	1					
11	2	Contrib		200	200	330000			1	1					
11	2	Contrib		100	100	650000			1	1					
11	3	Item	231	2	2	1000000			1	1					
12	1	Coin		10000	10000	50000			1	1					
12	1	Coin		4000	4000	300000			1	1					
12	1	Coin		2000	2000	650000			1	1					
12	2	Contrib		1000	1000	20000			1	1					
12	2	Contrib		200	200	330000			1	1					
12	2	Contrib		100	100	650000			1	1					
12	3	Item	231	2	2	1000000			1	1					
13	1	Coin		10000	10000	50000			1	1					
13	1	Coin		4000	4000	300000			1	1					
13	1	Coin		2000	2000	650000			1	1					
13	2	Contrib		1000	1000	20000			1	1					
13	2	Contrib		200	200	330000			1	1					
13	2	Contrib		100	100	650000			1	1					
13	3	Item	231	2	2	1000000			1	1					
14	1	Coin		10000	10000	50000			1	1					
14	1	Coin		4000	4000	300000			1	1					
14	1	Coin		2000	2000	650000			1	1					
14	2	Contrib		1000	1000	20000			1	1					
14	2	Contrib		200	200	330000			1	1					
14	2	Contrib		100	100	650000			1	1					
14	3	Item	231	2	2	1000000			1	1					
15	1	Coin		10000	10000	50000			1	1					
15	1	Coin		4000	4000	300000			1	1					
15	1	Coin		2000	2000	650000			1	1					
15	2	Contrib		1000	1000	20000			1	1					
15	2	Contrib		200	200	330000			1	1					
15	2	Contrib		100	100	650000			1	1					
15	3	Item	231	2	2	1000000			1	1					
16	1	Coin		10000	10000	50000			1	1					
16	1	Coin		4000	4000	300000			1	1					
16	1	Coin		2000	2000	650000			1	1					
16	2	Contrib		1000	1000	20000			1	1					
16	2	Contrib		200	200	330000			1	1					
16	2	Contrib		100	100	650000			1	1					
16	3	Item	231	2	2	1000000			1	1					
17	1	Coin		10000	10000	50000			1	1					
17	1	Coin		4000	4000	300000			1	1					
17	1	Coin		2000	2000	650000			1	1					
17	2	Contrib		1000	1000	20000			1	1					
17	2	Contrib		200	200	330000			1	1					
17	2	Contrib		100	100	650000			1	1					
17	3	Item	231	2	2	1000000			1	1					
18	1	Coin		10000	10000	50000			1	1					
18	1	Coin		4000	4000	300000			1	1					
18	1	Coin		2000	2000	650000			1	1					
18	2	Contrib		1000	1000	20000			1	1					
18	2	Contrib		200	200	330000			1	1					
18	2	Contrib		100	100	650000			1	1					
18	3	Item	231	2	2	1000000			1	1					
19	1	Coin		10000	10000	50000			1	1					
19	1	Coin		4000	4000	300000			1	1					
19	1	Coin		2000	2000	650000			1	1					
19	2	Contrib		1000	1000	20000			1	1					
19	2	Contrib		200	200	330000			1	1					
19	2	Contrib		100	100	650000			1	1					
19	3	Item	231	2	2	1000000			1	1					
20	1	Coin		10000	10000	50000			1	1					
20	1	Coin		4000	4000	300000			1	1					
20	1	Coin		2000	2000	650000			1	1					
20	2	Contrib		1000	1000	20000			1	1					
20	2	Contrib		200	200	330000			1	1					
20	2	Contrib		100	100	650000			1	1					
20	3	Item	231	2	2	1000000			1	1					
