Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Item	301011	1	1	96176			1	1					
1	1	Item	302011	1	1	96172			1	1					
1	1	Item	305011	1	1	96172			1	1					
1	1	Item	312011	1	1	96172			1	1					
1	1	Item	314011	1	1	96172			1	1					
1	1	Item	316011	1	1	96172			1	1					
1	1	Item	317011	1	1	96172			1	1					
1	1	Item	323011	1	1	96172			1	1					
1	1	Item	324011	1	1	96172			1	1					
1	1	Item	325011	1	1	19042			1	1					
1	1	Item	326011	1	1	57703			1	1					
1	1	Item	328011	1	1	57703			1	1					
2	1	Item	303021	1	1	49020			1	1					
2	1	Item	304021	1	1	49020			1	1					
2	1	Item	306021	1	1	98039			1	1					
2	1	Item	307021	1	1	19608			1	1					
2	1	Item	308021	1	1	19608			1	1					
2	1	Item	309021	1	1	19608			1	1					
2	1	Item	310021	1	1	19608			1	1					
2	1	Item	311021	1	1	19608			1	1					
2	1	Item	313021	1	1	98039			1	1					
2	1	Item	315021	1	1	98039			1	1					
2	1	Item	318021	1	1	78431			1	1					
2	1	Item	319021	1	1	78431			1	1					
2	1	Item	320021	1	1	78431			1	1					
2	1	Item	321021	1	1	78431			1	1					
2	1	Item	322021	1	1	78431			1	1					
2	1	Item	327021	1	1	58824			1	1					
2	1	Item	329021	1	1	58824			1	1					
3	1	Item	301031	1	1	96176			1	1					
3	1	Item	302031	1	1	96172			1	1					
3	1	Item	305031	1	1	96172			1	1					
3	1	Item	312031	1	1	96172			1	1					
3	1	Item	314031	1	1	96172			1	1					
3	1	Item	316031	1	1	96172			1	1					
3	1	Item	317031	1	1	96172			1	1					
3	1	Item	323031	1	1	96172			1	1					
3	1	Item	324031	1	1	96172			1	1					
3	1	Item	325031	1	1	19042			1	1					
3	1	Item	326031	1	1	57703			1	1					
3	1	Item	328031	1	1	57703			1	1					
4	1	Item	303041	1	1	49020			1	1					
4	1	Item	304041	1	1	49020			1	1					
4	1	Item	306041	1	1	98039			1	1					
4	1	Item	307041	1	1	19608			1	1					
4	1	Item	308041	1	1	19608			1	1					
4	1	Item	309041	1	1	19608			1	1					
4	1	Item	310041	1	1	19608			1	1					
4	1	Item	311041	1	1	19608			1	1					
4	1	Item	313041	1	1	98039			1	1					
4	1	Item	315041	1	1	98039			1	1					
4	1	Item	318041	1	1	78431			1	1					
4	1	Item	319041	1	1	78431			1	1					
4	1	Item	320041	1	1	78431			1	1					
4	1	Item	321041	1	1	78431			1	1					
4	1	Item	322041	1	1	78431			1	1					
