Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
230	Item	212	10			1	1					
20214	Gold		198			1	1					
20394	Coin		5000			1	1					
20394	Contrib		1000			1	1					
20394	Item	212	20			1	1					
20395	Coin		10000			1	1					
20395	Contrib		2000			1	1					
20395	Item	222	20			1	1					
20557	Contrib		5000			1	1					
30094	Contrib		20000				1			1		
30094	Item	212	50				1			1		
30094	Item	30340	10				1			1		
30095	Contrib		20000				1			1		
30095	Item	212	50				1			1		
30095	Item	30340	10				1			1		
30095	Gold		1000				1			1		
30096	MasterMoney		5000				1			1		
30097	MasterMoney		10000				1			1		
30370	Gold		200				1			1		
30371	Yu		1000				1			1		
1308	Item	43413	1				1			1		259200
1308	Item	212	10				1			1		
1308	Item	30100	2				1			1		
1308	Item	30093	1				1			1		
1308	Item	1929	1				1			1		
1308	Item	1970	1				1			1		
