Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Item	788	2	2	1000000	OpenLevel39	OpenLevel79	1	1					
1	1	Item	789	2	2	1000000	OpenLevel79	OpenLevel99	1	1					
1	1	Item	790	2	2	1000000	OpenLevel99	OpenLevel119	1	1					
1	1	Item	791	2	2	1000000	OpenLevel119	OpenLevel139	1	1					
1	1	Item	792	2	2	1000000	OpenLevel139	OpenLevel159	1	1					
1	1	Item	793	2	2	1000000	OpenLevel159	OpenLevel179	1	1					
1	1	Item	794	2	2	1000000	OpenLevel179	OpenLevel199	1	1					
1	1	Item	795	2	2	1000000	OpenLevel199		1	1					
1	2	Item	30928	1	1	1000000			1	1					
1	3	Contrib		200	200	950000			1	1					
1	3	Contrib		2000	2000	50000			1	1					
