Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Item	30339	1	1	180000			1	1					
1	1	Item	30340	1	1	40000			1	1					
1	1	Item	212	5	5	300000			1	1					
1	1	Item	300	1	1	10000			1	1					
1	1	Item	302	1	1	10000			1	1					
1	1	Item	30141	1	1	10000			1	1					
1	1	Item	2438	1	1	240000			1	1					
1	1	Item	2431	1	1	10000			1	1					
1	1	Contrib		5000	5000	2000			1	1					
1	1	Contrib		3000	3000	10000			1	1					
1	1	Contrib		2000	2000	30000			1	1					
1	1	Contrib		1000	1000	75000			1	1					
1	1	Contrib		800	800	83000			1	1					
