Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	ChangeTradeLimitByMonthCard	IgnoreNoMonthCard
1	1	Item	1968	1	1	36800			1	1							
1	1	Item	212	6	6	73500			1	1							
1	1	Item	212	10	10	73500			1	1							
1	1	Item	212	5	5	73500			1	1							
1	1	Coin		10000	10000	73500			1	1							
1	1	Gold		20	20	73500			1	1							
1	1	Gold		30	30	73500			1	1							
1	1	Gold		50	50	73500			1	1							
1	1	Gold		100	100	73500			1	1							
1	1	Item	2438	1	1	22100			1	1							
1	1	Item	1969	1	1	36800			1	1							
1	1	Item	601	20	20	147100			1	1							
1	1	Item	602	10	10	147100			1	1							
1	1	Item	603	2	2	22100			1	1							
2	1	Item	1968	1	1	35500			1	1							
2	1	Item	212	6	6	70900			1	1							
2	1	Item	212	10	10	70900			1	1							
2	1	Item	212	5	5	70900			1	1							
2	1	Coin		10000	10000	70900			1	1							
2	1	Gold		20	20	70900			1	1							
2	1	Gold		30	30	70900			1	1							
2	1	Gold		50	50	70900			1	1							
2	1	Gold		100	100	106500			1	1							
2	1	Item	2438	1	1	21300			1	1							
2	1	Item	1969	1	1	35500			1	1							
2	1	Item	601	20	20	141800			1	1							
2	1	Item	602	10	10	141800			1	1							
2	1	Item	603	2	2	21300			1	1							
3	1	Item	1968	1	1	34700			1	1							
3	1	Item	212	6	6	69400			1	1							
3	1	Item	212	10	10	69400			1	1							
3	1	Item	212	5	5	69400			1	1							
3	1	Item	1929	2	2	34700			1	1							
3	1	Coin		10000	10000	69400			1	1							
3	1	Gold		20	20	69800			1	1							
3	1	Gold		30	30	69400			1	1							
3	1	Gold		50	50	69400			1	1							
3	1	Gold		100	100	104200			1	1							
3	1	Item	2438	1	1	20800			1	1							
3	1	Item	1969	1	1	20800			1	1							
3	1	Item	601	20	20	138900			1	1							
3	1	Item	602	10	10	138900			1	1							
3	1	Item	603	2	2	20800			1	1							
4	1	Item	1968	1	1	34200			1	1							
4	1	Item	212	6	6	68500			1	1							
4	1	Item	212	10	10	68500			1	1							
4	1	Item	212	5	5	68500			1	1							
4	1	Item	1929	2	2	34200			1	1							
4	1	Coin		10000	10000	68500			1	1							
4	1	Gold		20	20	68500			1	1							
4	1	Gold		30	30	68500			1	1							
4	1	Gold		50	50	68500			1	1							
4	1	Gold		100	100	102700			1	1							
4	1	Item	2438	1	1	34200			1	1							
4	1	Item	1969	1	1	20500			1	1							
4	1	Item	601	20	20	137000			1	1							
4	1	Item	602	10	10	137000			1	1							
4	1	Item	603	2	2	20700			1	1							
5	1	Item	1968	1	1	36800			1	1							
5	1	Item	212	6	6	73500			1	1							
5	1	Item	212	10	10	73500			1	1							
5	1	Item	212	5	5	73500			1	1							
5	1	Item	1929	2	2	36800			1	1							
5	1	Coin		10000	10000	73500			1	1							
5	1	Gold		20	20	73500			1	1							
5	1	Gold		30	30	73500			1	1							
5	1	Gold		50	50	73500			1	1							
5	1	Gold		100	100	36800			1	1							
5	1	Item	2438	1	1	22100			1	1							
5	1	Item	1969	1	1	22100			1	1							
5	1	Item	601	20	20	147100			1	1							
5	1	Item	602	10	10	147100			1	1							
5	1	Item	603	2	2	22100			1	1							
5	1	Item	30333	1	1	14600			1	1							1
6	1	Item	1968	1	1	36800			1	1							
6	1	Item	212	6	6	73500			1	1							
6	1	Item	212	10	10	73500			1	1							
6	1	Item	212	5	5	73500			1	1							
6	1	Item	1929	2	2	36800			1	1							
6	1	Coin		10000	10000	73500			1	1							
6	1	Gold		20	20	73500			1	1							
6	1	Gold		30	30	73500			1	1							
6	1	Gold		50	50	73500			1	1							
6	1	Gold		100	100	36800			1	1							
6	1	Item	2438	1	1	22100			1	1							
6	1	Item	1969	1	1	22100			1	1							
6	1	Item	601	20	20	147100			1	1							
6	1	Item	602	10	10	147100			1	1							
6	1	Item	603	2	2	22100			1	1							
6	1	Item	30334	1	1	14600			1	1							1
7	1	Item	1968	1	1	36800			1	1							
7	1	Item	212	6	6	73500			1	1							
7	1	Item	212	10	10	73500			1	1							
7	1	Item	212	5	5	73500			1	1							
7	1	Item	1929	2	2	36800			1	1							
7	1	Coin		10000	10000	73500			1	1							
7	1	Gold		20	20	73500			1	1							
7	1	Gold		30	30	73500			1	1							
7	1	Gold		50	50	73500			1	1							
7	1	Gold		100	100	36800			1	1							
7	1	Item	2438	1	1	22100			1	1							
7	1	Item	1969	1	1	22100			1	1							
7	1	Item	601	20	20	147100			1	1							
7	1	Item	602	10	10	147100			1	1							
7	1	Item	603	2	2	22100			1	1							
7	1	Item	30335	1	1	14600			1	1							1
8	1	Item	1968	1	1	36800			1	1							
8	1	Item	212	6	6	73500			1	1							
8	1	Item	212	10	10	73500			1	1							
8	1	Item	212	5	5	73500			1	1							
8	1	Item	1929	2	2	36800			1	1							
8	1	Coin		10000	10000	73500			1	1							
8	1	Gold		20	20	73500			1	1							
8	1	Gold		30	30	73500			1	1							
8	1	Gold		50	50	73500			1	1							
8	1	Gold		100	100	36800			1	1							
8	1	Item	2438	1	1	22100			1	1							
8	1	Item	1969	1	1	22100			1	1							
8	1	Item	601	20	20	147100			1	1							
8	1	Item	602	10	10	147100			1	1							
8	1	Item	603	2	2	22100			1	1							
8	1	Item	30336	1	1	14600			1	1							1
9	1	Item	1968	1	1	22200			1	1							
9	1	Item	212	6	6	74100			1	1							
9	1	Item	212	10	10	74100			1	1							
9	1	Item	212	5	5	74100			1	1							
9	1	Item	1929	2	2	37000			1	1							
9	1	Coin		10000	10000	74100			1	1							
9	1	Gold		20	20	74100			1	1							
9	1	Gold		30	30	74100			1	1							
9	1	Gold		50	50	74100			1	1							
9	1	Gold		100	100	37000			1	1							
9	1	Item	2438	1	1	22200			1	1							
9	1	Item	2431	1	1	7400			1	1							
9	1	Item	1969	1	1	22200			1	1							
9	1	Item	601	20	20	148100			1	1							
9	1	Item	602	10	10	148100			1	1							
9	1	Item	603	2	2	22200			1	1							
9	1	Item	30337	1	1	14900			1	1							1
10	1	Item	1968	1	1	22400			1	1							
10	1	Item	212	6	6	74600			1	1							
10	1	Item	212	10	10	74600			1	1							
10	1	Item	212	5	5	74600			1	1							
10	1	Item	1929	2	2	37300			1	1							
10	1	Coin		10000	10000	74600			1	1							
10	1	Gold		20	20	74600			1	1							
10	1	Gold		30	30	74600			1	1							
10	1	Gold		50	50	74600			1	1							
10	1	Gold		100	100	37300			1	1							
10	1	Item	2438	1	1	22400			1	1							
10	1	Item	2431	1	1	7500			1	1							
10	1	Item	1969	1	1	22400			1	1							
10	1	Item	601	20	20	149300			1	1							
10	1	Item	602	10	10	149300			1	1							
10	1	Item	603	2	2	22400			1	1							
10	1	Item	30338	1	1	7500			1	1							1
