Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	Desc
1	1	Coin		888	888	260000			1	1						
1	1	Item	212	1	1	330000			1	1						
1	1	Item	888	1	1	40000			1	1						
1	1	Item	602	1	1	270000			1	1						
1	1	Item	30373	1	1	38900			1	1						
1	1	Item	30037	1	1	20000			1	1						
1	1	Item	30038	1	1	20000			1	1						
1	1	Item	30354	1	1	20000			1	1						
1	1	Item	1393	1	1	1000			1	1	1					
1	1	Item	1394	1	1	100			1	1	1					
2	1	Item	1969	5	5	75000			1	1						
2	1	Item	30101	1	1	50000			1	1						
2	1	Item	888	1	1	260000			1	1						
2	1	Item	30652	1	1	260000			1	1						
2	1	Item	30373	1	1	260000			1	1						
2	1	Item	1393	1	1	10000			1	1	1					
2	1	Item	1394	1	1	5000			1	1	1					
2	1	Item	30780	1	1	40000			1	1	1					
2	1	Item	2435	1	1	40000			1	1						
3	1	Item	1969	15	15	250000			1	1						
3	1	Item	30101	2	2	200000			1	1						
3	1	Item	1930	1	1	200000			1	1						
3	1	Item	30516	1	1	80000			1	1						
3	1	Item	30517	1	1	20000			1	1						
3	1	Item	1393	3	3	100000			1	1						
3	1	Item	1394	3	3	50000			1	1						
3	1	Item	1395	1	1	50000			1	1						
3	1	Item	2434	1	1	50000			1	1						
4	1	Item	785	2	2	100000			1	1						
4	1	Item	212	30	30	130000			1	1						
4	1	Item	400005	1	1	100000			1	1						
4	1	Item	30101	1	1	50000			1	1						
4	1	Item	30379	2	2	140000			1	1						
4	1	Item	30652	1	1	120000			1	1						
4	1	Item	30373	2	2	100000			1	1						
4	1	Item	2431	1	1	80000			1	1						
4	1	Item	888	4	4	100000			1	1						
4	1	Item	30516	1	1	30000			1	1						
4	1	Item	30517	1	1	10000			1	1	1					
4	1	Item	1394	1	1	25000			1	1						
4	1	Item	1395	1	1	15000			1	1						
5	1	Coin		10000	10000	320000			1	1						
5	1	Item	212	10	10	320000			1	1						
5	1	Item	1929	1	1	80000			1	1						
5	1	Item	30379	1	1	80000			1	1						
5	1	Item	602	4	4	150000			1	1						
5	1	Item	30373	1	1	50000			1	1						
7	1	Coin		10000	10000	250000			1	1						
7	1	Item	30101	1	1	30000			1	1						
7	1	Item	1929	1	1	208500			1	1						
7	1	Item	30652	1	1	150000			1	1						
7	1	Item	30373	1	1	200000			1	1						
7	1	Item	1393	1	1	1000			1	1	1					
7	1	Item	1394	1	1	500			1	1	1					
7	1	Item	30780	1	1	10000			1	1						
7	1	Item	765	1	1	150000			1	1						
11	1	Item	785	2	2	100000			1	1						栖凤锤
11	1	Item	212	40	40	230000			1	1						玄晶
11	1	Item	400005	1	1	150000			1	1						5级器魂
11	1	Item	30101	1	1	50000			1	1						补天石
11	1	Item	231	4	4	170000			1	1						玄铁
11	1	Item	30373	2	2	170000			1	1						行侠令
11	1	Item	2438	1	1	100000			1	1						秘籍要诀全盒
11	1	Item	30516	1	1	20000			1	1						绝品装备重随符
11	1	Item	30517	1	1	5000			1	1	1					黄金装备重随符
11	1	Item	30895	1	1	5000			1	1	1					<i18n=5679>
12	1	Coin		2000	2000	310000			1	1						银两
12	1	Item	212	1	1	259500			1	1						玄晶
12	1	Item	888	1	1	40000			1	1						天山玉露
12	1	Item	602	1	1	300000			1	1						珍品醍醐丹
12	1	Item	30373	1	1	30000			1	1						行侠令
12	1	Item	30037	1	1	20000			1	1						龙脉图·一级
12	1	Item	30038	1	1	20000			1	1						龙脉图·二级
12	1	Item	30354	1	1	20000			1	1						龙脉图·三级
12	1	Item	30895	1	1	500			1	1	1					<i18n=5679>
13	1	Item	1969	1	1	150000			1	1						静心书卷
13	1	Item	30101	1	1	40000			1	1						补天石
13	1	Item	888	1	1	229000			1	1						天山玉露
13	1	Item	1968	1	1	150000			1	1						领悟丹
13	1	Item	30895	1	1	1000			1	1	1					<i18n=5679>
13	1	Item	231	1	1	250000			1	1						玄铁
13	1	Item	232	1	1	170000			1	1						月石
13	1	Item	2434	1	1	10000			1	1						紫色要诀
14	1	Item	30066	2	2	1000000				1			1			琼酥酿
14	2	Item	30067	2	2	1000000				1			1			兰芷醉
14	3	Item	30070	1	1	150000				1	1		1			海誓山盟
14	3	Item	30071	1	1	150000				1	1		1			天长地久
14	3	Item	30092	3	3	600000				1			1			传声海螺·彩聊
14	3	Item	30381	1	1	100000				1			1			角色改名卡
14	4	Item	212	15	15	990000				1			1			玄晶
14	4	Item	212	520	520	10000				1	1		1			玄晶
14	5	Coin		5200	5200	990000				1			1			银两
14	5	Coin		131420	131420	10000				1	1		1			银两
15	1	Item	785	1	1	100000				1						栖凤锤
15	1	Item	212	25	25	130000				1						玄晶
15	1	Item	400005	1	1	80000				1						5级器魂
15	1	Item	30101	1	1	30000				1						补天石
15	1	Item	30652	2	2	100000				1						长歌山庄信物
15	1	Item	30373	1	1	120000				1						行侠令
15	1	Item	2438	1	1	70000				1						秘籍要诀全盒
15	1	Item	888	2	2	100000				1						天山玉露
15	1	Item	30516	1	1	20000				1						绝品装备重随符
15	1	Item	30517	1	1	5000				1	1					黄金装备重随符
15	1	Item	30895	1	1	5000				1	1					<i18n=5679>
15	1	Item	2433	1	1	8000				1	1					秘籍要诀锦囊·绝本
15	1	Item	2434	1	1	10000				1	1					秘籍要诀锦囊·极本
15	1	Item	232	1	1	112000				1						月石
15	1	Item	231	2	2	110000				1						玄铁
