Key	AwardType	AwardSubType	Count	TimeFrameMin	TimeFrameMax	IsAdd2Auction
1	Partner	1	1			
2	Partner	2	1			
3	Partner	3	1			
4	Partner	4	1			
5	Partner	5	1			
6	Partner	6	1			
7	Partner	7	1			
8	Partner	8	1			
9	Partner	9	1			
10	Partner	10	1			
11	Partner	11	1			
12	Partner	12	1			
13	Partner	13	1			
14	Partner	14	1			
15	Partner	15	1			
16	Partner	16	1			
17	Partner	17	1			
18	Partner	18	1			
19	Partner	19	1			
20	Partner	20	1			
21	Partner	21	1			
22	Partner	22	1			
23	Partner	23	1			
24	Partner	24	1			
25	Partner	25	1			
26	Partner	26	1			
27	Partner	27	1			
28	Partner	28	1			
29	Partner	29	1			
30	Partner	30	1			
31	Partner	31	1			
32	Partner	32	1			
33	Partner	33	1			
34	Partner	34	1			
35	Partner	35	1			
36	Partner	36	1			
37	Partner	37	1			
38	Partner	38	1			
39	Partner	39	1			
40	Partner	40	1			
41	Partner	41	1			
42	Partner	42	1			
43	Partner	43	1			
44	Partner	44	1			
45	Partner	45	1			
46	Partner	46	1			
47	Partner	47	1			
48	Partner	48	1			
49	Partner	49	1			
50	Partner	50	1			
51	Partner	51	1			
52	Partner	52	1			
53	Partner	53	1			
54	Partner	54	1			
55	Partner	55	1			
56	Partner	56	1			
57	Partner	57	1			
58	Partner	58	1			
59	Partner	59	1			
60	Partner	60	1			
61	Partner	61	1			
62	Partner	62	1			
63	Partner	63	1			
64	Partner	64	1			
65	Partner	65	1			
66	Partner	66	1			
67	Partner	67	1			
68	Partner	68	1			
69	Partner	69	1			
70	Partner	70	1			
71	Partner	71	1			
72	Partner	72	1			
73	Partner	73	1			
74	Partner	74	1			
75	Partner	75	1			
76	Partner	76	1			
77	Partner	77	1			
78	Partner	78	1			
79	Partner	79	1			
80	Partner	80	1			
81	Partner	81	1			
82	Partner	82	1			
83	Partner	83	1			
84	Partner	84	1			
85	Partner	85	1			
86	Partner	86	1			
87	Partner	87	1			
88	Partner	88	1			
89	Partner	89	1			
90	Partner	90	1			
91	Partner	91	1			
92	Partner	92	1			
93	Partner	93	1			
94	Partner	94	1			
95	Partner	95	1			
96	Partner	96	1			
97	Partner	97	1			
98	Partner	98	1			
99	Partner	99	1			
100	Partner	100	1			
101	Partner	101	1			
102	Partner	102	1			
103	Partner	103	1			
104	Partner	104	1			
105	Partner	105	1			
106	Partner	106	1			
107	Partner	107	1			
108	Partner	108	1			
109	Partner	109	1			
110	Partner	110	1			
111	Partner	111	1			
112	Partner	112	1			
113	Partner	113	1			
114	Partner	114	1			
115	Partner	115	1			
116	Partner	116	1			
117	Partner	117	1			
118	Partner	118	1			
119	Partner	119	1			
120	Partner	120	1			
121	Partner	121	1			
122	Partner	122	1			
123	Partner	123	1			
124	Partner	124	1			
125	Partner	125	1			
126	Partner	126	1			
127	Partner	127	1			
128	Partner	128	1			
129	Partner	129	1			
130	Partner	130	1			
131	Partner	131	1			
132	Partner	132	1			
133	Partner	133	1			
134	Partner	134	1			
135	Partner	135	1			
136	Partner	136	1			
137	Partner	137	1			
138	Partner	138	1			
139	Partner	139	1			
140	Partner	140	1			
141	Partner	141	1			
142	Partner	142	1			
143	Partner	143	1			
144	Partner	144	1			
145	Partner	145	1			
146	Partner	146	1			
147	Partner	147	1			
148	Partner	148	1			
149	Partner	149	1			
150	Partner	150	1			
151	Partner	151	1			
152	Partner	152	1			
153	Partner	153	1			
154	Partner	154	1			
155	Partner	155	1			
156	Partner	156	1			
157	Partner	157	1			
158	Partner	158	1			
159	Partner	159	1			
160	Partner	160	1			
161	Partner	161	1			
162	Partner	162	1			
163	Partner	163	1			
164	Partner	164	1			
165	Partner	165	1			
166	Partner	166	1			
167	Partner	167	1			
168	Partner	168	1			
169	Partner	169	1			
170	Partner	170	1			
171	Partner	171	1			
172	Partner	172	1			
173	Partner	173	1			
174	Partner	174	1			
175	Partner	175	1			
176	Partner	176	1			
177	Partner	177	1			
178	Partner	178	1			
179	Partner	179	1			
180	Partner	180	1			
181	Partner	181	1			
182	Partner	182	1			
183	Partner	183	1			
184	Partner	184	1			
185	Partner	185	1			
186	Partner	186	1			
187	Partner	187	1			
188	Partner	188	1			
189	Partner	189	1			
190	Partner	190	1			
191	Partner	191	1			
192	Partner	192	1			
193	Partner	193	1			
194	Partner	194	1			
195	Partner	195	1			
196	Partner	196	1			
197	Partner	197	1			
198	Partner	198	1			
199	Partner	199	1			
200	Partner	200	1			
