Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Item	40401	1	1	50000			1	1					
1	1	Item	40402	1	1	50000			1	1					
1	1	Item	40403	1	1	50000			1	1					
1	1	Item	40404	1	1	50000			1	1					
1	1	Item	40405	1	1	50000			1	1					
1	1	Item	40406	1	1	50000			1	1					
1	1	Item	40407	1	1	50000			1	1					
1	1	Item	40408	1	1	50000			1	1					
1	1	Item	40409	1	1	50000			1	1					
1	1	Item	40410	1	1	50000			1	1					
1	1	Item	40411	1	1	50000			1	1					
1	1	Item	40412	1	1	50000			1	1					
1	1	Item	40413	1	1	50000			1	1					
1	1	Item	40414	1	1	50000			1	1					
1	1	Item	40415	1	1	50000			1	1					
1	1	Item	40416	1	1	50000			1	1					
1	1	Item	40417	1	1	50000			1	1					
1	1	Item	40418	1	1	50000			1	1					
1	1	Item	40419	1	1	50000			1	1					
1	1	Item	40420	1	1	50000			1	1					
2	1	Item	40381	1	1	50000			1	1					
2	1	Item	40382	1	1	50000			1	1					
2	1	Item	40383	1	1	50000			1	1					
2	1	Item	40384	1	1	50000			1	1					
2	1	Item	40385	1	1	50000			1	1					
2	1	Item	40386	1	1	50000			1	1					
2	1	Item	40387	1	1	50000			1	1					
2	1	Item	40388	1	1	50000			1	1					
2	1	Item	40389	1	1	50000			1	1					
2	1	Item	40390	1	1	50000			1	1					
2	1	Item	40391	1	1	50000			1	1					
2	1	Item	40392	1	1	50000			1	1					
2	1	Item	40393	1	1	50000			1	1					
2	1	Item	40394	1	1	50000			1	1					
2	1	Item	40395	1	1	50000			1	1					
2	1	Item	40396	1	1	50000			1	1					
2	1	Item	40397	1	1	50000			1	1					
2	1	Item	40398	1	1	50000			1	1					
2	1	Item	40399	1	1	50000			1	1					
2	1	Item	40400	1	1	50000			1	1					
3	1	Item	40361	1	1	50000			1	1					
3	1	Item	40362	1	1	50000			1	1					
3	1	Item	40363	1	1	50000			1	1					
3	1	Item	40364	1	1	50000			1	1					
3	1	Item	40365	1	1	50000			1	1					
3	1	Item	40366	1	1	50000			1	1					
3	1	Item	40367	1	1	50000			1	1					
3	1	Item	40368	1	1	50000			1	1					
3	1	Item	40369	1	1	50000			1	1					
3	1	Item	40370	1	1	50000			1	1					
3	1	Item	40371	1	1	50000			1	1					
3	1	Item	40372	1	1	50000			1	1					
3	1	Item	40373	1	1	50000			1	1					
3	1	Item	40374	1	1	50000			1	1					
3	1	Item	40375	1	1	50000			1	1					
3	1	Item	40376	1	1	50000			1	1					
3	1	Item	40377	1	1	50000			1	1					
3	1	Item	40378	1	1	50000			1	1					
3	1	Item	40379	1	1	50000			1	1					
3	1	Item	40380	1	1	50000			1	1					
4	1	Item	40341	1	1	50000			1	1			1		
4	1	Item	40342	1	1	50000			1	1			1		
4	1	Item	40343	1	1	50000			1	1			1		
4	1	Item	40344	1	1	50000			1	1			1		
4	1	Item	40345	1	1	50000			1	1			1		
4	1	Item	40346	1	1	50000			1	1			1		
4	1	Item	40347	1	1	50000			1	1			1		
4	1	Item	40348	1	1	50000			1	1			1		
4	1	Item	40349	1	1	50000			1	1			1		
4	1	Item	40350	1	1	50000			1	1			1		
4	1	Item	40351	1	1	50000			1	1			1		
4	1	Item	40352	1	1	50000			1	1			1		
4	1	Item	40353	1	1	50000			1	1			1		
4	1	Item	40354	1	1	50000			1	1			1		
4	1	Item	40355	1	1	50000			1	1			1		
4	1	Item	40356	1	1	50000			1	1			1		
4	1	Item	40357	1	1	50000			1	1			1		
4	1	Item	40358	1	1	50000			1	1			1		
4	1	Item	40359	1	1	50000			1	1			1		
4	1	Item	40360	1	1	50000			1	1			1		
5	1	Item	40322	1	1	66667			1	1			1		
5	1	Item	40323	1	1	66667			1	1			1		
5	1	Item	40325	1	1	66667			1	1			1		
5	1	Item	40326	1	1	66667			1	1			1		
5	1	Item	40327	1	1	66667			1	1			1		
5	1	Item	40328	1	1	66667			1	1			1		
5	1	Item	40329	1	1	66667			1	1			1		
5	1	Item	40330	1	1	66667			1	1			1		
5	1	Item	40331	1	1	66667			1	1			1		
5	1	Item	40333	1	1	66667			1	1			1		
5	1	Item	40334	1	1	66667			1	1			1		
5	1	Item	40336	1	1	66667			1	1			1		
5	1	Item	40337	1	1	66667			1	1			1		
5	1	Item	40339	1	1	66667			1	1			1		
5	1	Item	40340	1	1	66667			1	1			1		
6	1	Item	40301	1	1	50000			1	1			1		
6	1	Item	40302	1	1	50000			1	1			1		
6	1	Item	40303	1	1	50000			1	1			1		
6	1	Item	40304	1	1	50000			1	1			1		
6	1	Item	40305	1	1	50000			1	1			1		
6	1	Item	40306	1	1	50000			1	1			1		
6	1	Item	40307	1	1	50000			1	1			1		
6	1	Item	40308	1	1	50000			1	1			1		
6	1	Item	40309	1	1	50000			1	1			1		
6	1	Item	40310	1	1	50000			1	1			1		
6	1	Item	40311	1	1	50000			1	1			1		
6	1	Item	40312	1	1	50000			1	1			1		
6	1	Item	40313	1	1	50000			1	1			1		
6	1	Item	40314	1	1	50000			1	1			1		
6	1	Item	40315	1	1	50000			1	1			1		
6	1	Item	40316	1	1	50000			1	1			1		
6	1	Item	40317	1	1	50000			1	1			1		
6	1	Item	40318	1	1	50000			1	1			1		
6	1	Item	40319	1	1	50000			1	1			1		
6	1	Item	40320	1	1	50000			1	1			1		
61	1	Item	40301	1	1	250000			1	1			1		
61	1	Item	40306	1	1	250000			1	1			1		
61	1	Item	40311	1	1	250000			1	1			1		
61	1	Item	40316	1	1	250000			1	1			1		
62	1	Item	40302	1	1	250000			1	1			1		
62	1	Item	40307	1	1	250000			1	1			1		
62	1	Item	40312	1	1	250000			1	1			1		
62	1	Item	40317	1	1	250000			1	1			1		
63	1	Item	40303	1	1	250000			1	1			1		
63	1	Item	40308	1	1	250000			1	1			1		
63	1	Item	40313	1	1	250000			1	1			1		
63	1	Item	40318	1	1	250000			1	1			1		
64	1	Item	40304	1	1	250000			1	1			1		
64	1	Item	40309	1	1	250000			1	1			1		
64	1	Item	40314	1	1	250000			1	1			1		
64	1	Item	40319	1	1	250000			1	1			1		
65	1	Item	40305	1	1	250000			1	1			1		
65	1	Item	40310	1	1	250000			1	1			1		
65	1	Item	40315	1	1	250000			1	1			1		
65	1	Item	40320	1	1	250000			1	1			1		
