Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameMin	TimeFrameMax	IsAdd2Auction
1	1	Item	1971	1	1	125000			0
1	1	Item	1972	1	1	125000			0
1	1	Item	1973	1	1	125000			0
1	1	Item	1974	1	1	125000			0
1	1	Item	1975	1	1	125000			0
1	1	Item	1976	1	1	125000			0
1	1	Item	1977	1	1	125000			0
1	1	Item	1978	1	1	125000			0
2	1	Item	1979	1	1	66667			0
2	1	Item	1980	1	1	66667			0
2	1	Item	1981	1	1	66667			0
2	1	Item	1982	1	1	66667			0
2	1	Item	1983	1	1	66667			0
2	1	Item	1984	1	1	66667			0
2	1	Item	1985	1	1	66667			0
2	1	Item	1986	1	1	66667			0
2	1	Item	1987	1	1	66667			0
2	1	Item	1988	1	1	66667			0
2	1	Item	1989	1	1	66667			0
2	1	Item	1990	1	1	66667			0
2	1	Item	1991	1	1	66667			0
2	1	Item	1992	1	1	66667			0
2	1	Item	1993	1	1	66662			0
3	1	Item	1994	1	1	33333			0
3	1	Item	1995	1	1	33333			0
3	1	Item	1996	1	1	33333			0
3	1	Item	1997	1	1	33333			0
3	1	Item	1998	1	1	33333			0
3	1	Item	1999	1	1	33333			0
3	1	Item	2000	1	1	33333			0
3	1	Item	2001	1	1	33333			0
3	1	Item	2002	1	1	33333			0
3	1	Item	2003	1	1	33333			0
3	1	Item	2004	1	1	33333			0
3	1	Item	2005	1	1	33333			0
3	1	Item	2006	1	1	33333			0
3	1	Item	2007	1	1	33333			0
3	1	Item	2008	1	1	33333			0
3	1	Item	2009	1	1	33333			0
3	1	Item	2010	1	1	33333			0
3	1	Item	2011	1	1	33333			0
3	1	Item	2012	1	1	33333			0
3	1	Item	2013	1	1	33333			0
3	1	Item	2014	1	1	33333			0
3	1	Item	2015	1	1	33333			0
3	1	Item	2016	1	1	33333			0
3	1	Item	2017	1	1	33333			0
3	1	Item	2018	1	1	33333			0
3	1	Item	2019	1	1	33333			0
3	1	Item	2020	1	1	33333			0
3	1	Item	2021	1	1	33333			0
3	1	Item	2022	1	1	33333			0
3	1	Item	2023	1	1	33343			0
4	1	Item	2024	1	1	37037			0
4	1	Item	2025	1	1	37037			0
4	1	Item	2026	1	1	37037			0
4	1	Item	2027	1	1	37037			0
4	1	Item	2028	1	1	37037			0
4	1	Item	2029	1	1	37037			0
4	1	Item	2030	1	1	37037			0
4	1	Item	2031	1	1	37037			0
4	1	Item	2032	1	1	37037			0
4	1	Item	2033	1	1	37037			0
4	1	Item	2034	1	1	37037			0
4	1	Item	2035	1	1	37037			0
4	1	Item	2036	1	1	37037			0
4	1	Item	2037	1	1	37037			0
4	1	Item	2038	1	1	37037			0
4	1	Item	2039	1	1	37037			0
4	1	Item	2040	1	1	37037			0
4	1	Item	2041	1	1	37037			0
4	1	Item	2042	1	1	37037			0
4	1	Item	2043	1	1	37037			0
4	1	Item	2044	1	1	37037			0
4	1	Item	2045	1	1	37037			0
4	1	Item	2046	1	1	37037			0
4	1	Item	2047	1	1	37037			0
4	1	Item	2048	1	1	37037			0
4	1	Item	2049	1	1	37037			0
4	1	Item	2050	1	1	37038			0
5	1	Item	2051	1	1	50000			0
5	1	Item	2052	1	1	50000			0
5	1	Item	2053	1	1	50000			0
5	1	Item	2054	1	1	50000			0
5	1	Item	2055	1	1	50000			0
5	1	Item	2056	1	1	50000			0
5	1	Item	2057	1	1	50000			0
5	1	Item	2058	1	1	50000			0
5	1	Item	2059	1	1	50000			0
5	1	Item	2060	1	1	50000			0
5	1	Item	2061	1	1	50000			0
5	1	Item	2062	1	1	50000			0
5	1	Item	2063	1	1	50000			0
5	1	Item	2064	1	1	50000			0
5	1	Item	2065	1	1	50000			0
5	1	Item	2066	1	1	50000			0
5	1	Item	2067	1	1	50000			0
5	1	Item	2068	1	1	50000			0
5	1	Item	2069	1	1	50000			0
5	1	Item	2070	1	1	50000			0
6	1	Item	2071	1	1	200000			0
6	1	Item	2072	1	1	200000			0
6	1	Item	2073	1	1	200000			0
6	1	Item	2074	1	1	200000			0
6	1	Item	2075	1	1	200000			0
