Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut		Desc
1	Gold		20				1			1			每日1元礼包	
2	Gold		20				1			1			每日1元礼包	
3	Gold		20				1			1			每日1元礼包	
4	Gold		20				1			1			每日1元礼包	
5	Gold		20				1			1			每日1元礼包	
6	Gold		20				1			1			每日1元礼包	
7	Gold		20				1			1			每日1元礼包	
8	Gold		20				1			1			每日1元礼包	
9	Gold		20				1			1			每日1元礼包	
10	Gold		20				1			1			每日1元礼包	
11	Gold		20				1			1			每日1元礼包	
12	Gold		20				1			1			每日1元礼包	
13	Gold		20				1			1			每日1元礼包	
14	Gold		20				1			1			每日1元礼包	
15	Gold		20				1			1			每日1元礼包	
16	Gold		20				1			1			每日1元礼包	
17	Gold		20				1			1			每日1元礼包	
18	Gold		20				1			1			每日1元礼包	
19	Gold		20				1			1			每日1元礼包	
20	Gold		20				1			1			每日1元礼包	
1	Item	212	5				1			1			每日1元礼包	
2	Item	212	5				1			1			每日1元礼包	
3	Item	212	5				1			1			每日1元礼包	
4	Item	212	5				1			1			每日1元礼包	
5	Item	212	5				1			1			每日1元礼包	
6	Item	212	5				1			1			每日1元礼包	
7	Item	212	5				1			1			每日1元礼包	
8	Item	212	5				1			1			每日1元礼包	
9	Item	212	5				1			1			每日1元礼包	
10	Item	212	5				1			1			每日1元礼包	
11	Item	212	5				1			1			每日1元礼包	
12	Item	212	5				1			1			每日1元礼包	
13	Item	212	5				1			1			每日1元礼包	
14	Item	212	5				1			1			每日1元礼包	
15	Item	212	5				1			1			每日1元礼包	
16	Item	212	5				1			1			每日1元礼包	
17	Item	212	5				1			1			每日1元礼包	
18	Item	212	5				1			1			每日1元礼包	
19	Item	212	5				1			1			每日1元礼包	
20	Item	212	5				1			1			每日1元礼包	
1	Coin		2000				1			1			每日1元礼包	
2	Coin		2000				1			1			每日1元礼包	
3	Coin		2000				1			1			每日1元礼包	
4	Coin		2000				1			1			每日1元礼包	
5	Coin		2000				1			1			每日1元礼包	
6	Coin		2000				1			1			每日1元礼包	
7	Coin		2000				1			1			每日1元礼包	
8	Coin		2000				1			1			每日1元礼包	
9	Coin		2000				1			1			每日1元礼包	
10	Coin		2000				1			1			每日1元礼包	
11	Coin		2000				1			1			每日1元礼包	
12	Coin		2000				1			1			每日1元礼包	
13	Coin		2000				1			1			每日1元礼包	
14	Coin		2000				1			1			每日1元礼包	
15	Coin		2000				1			1			每日1元礼包	
16	Coin		2000				1			1			每日1元礼包	
17	Coin		2000				1			1			每日1元礼包	
18	Coin		2000				1			1			每日1元礼包	
19	Coin		2000				1			1			每日1元礼包	
20	Coin		2000				1			1			每日1元礼包	
1	Gold		100				1			1			每日6元礼包	
2	Gold		100				1			1			每日6元礼包	
3	Gold		100				1			1			每日6元礼包	
4	Gold		100				1			1			每日6元礼包	
5	Gold		100				1			1			每日6元礼包	
6	Gold		100				1			1			每日6元礼包	
7	Gold		100				1			1			每日6元礼包	
8	Gold		100				1			1			每日6元礼包	
9	Gold		100				1			1			每日6元礼包	
10	Gold		100				1			1			每日6元礼包	
11	Gold		100				1			1			每日6元礼包	
12	Gold		100				1			1			每日6元礼包	
13	Gold		100				1			1			每日6元礼包	
14	Gold		100				1			1			每日6元礼包	
15	Gold		100				1			1			每日6元礼包	
16	Gold		100				1			1			每日6元礼包	
17	Gold		100				1			1			每日6元礼包	
18	Gold		100				1			1			每日6元礼包	
19	Gold		100				1			1			每日6元礼包	
20	Gold		100				1			1			每日6元礼包	
1	Item	212	12				1			1			每日6元礼包	
2	Item	212	12				1			1			每日6元礼包	
3	Item	212	12				1			1			每日6元礼包	
4	Item	212	12				1			1			每日6元礼包	
5	Item	212	12				1			1			每日6元礼包	
6	Item	212	12				1			1			每日6元礼包	
7	Item	212	12				1			1			每日6元礼包	
8	Item	212	12				1			1			每日6元礼包	
9	Item	212	12				1			1			每日6元礼包	
10	Item	212	12				1			1			每日6元礼包	
11	Item	212	12				1			1			每日6元礼包	
12	Item	212	12				1			1			每日6元礼包	
13	Item	212	12				1			1			每日6元礼包	
14	Item	212	12				1			1			每日6元礼包	
15	Item	212	12				1			1			每日6元礼包	
16	Item	212	12				1			1			每日6元礼包	
17	Item	212	12				1			1			每日6元礼包	
18	Item	212	12				1			1			每日6元礼包	
19	Item	212	12				1			1			每日6元礼包	
20	Item	212	12				1			1			每日6元礼包	
