Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	Desc
1	1	Item	785	1	1	200000				1			1		每日1元礼包	
2	1	Item	785	1	1	200000				1			1		每日1元礼包	
3	1	Item	785	1	1	200000				1			1		每日1元礼包	
4	1	Item	785	1	1	200000				1			1		每日1元礼包	
5	1	Item	785	1	1	200000				1			1		每日1元礼包	
6	1	Item	785	1	1	200000				1			1		每日1元礼包	
7	1	Item	785	1	1	200000				1			1		每日1元礼包	
8	1	Item	785	1	1	200000				1			1		每日1元礼包	
9	1	Item	785	1	1	200000				1			1		每日1元礼包	
10	1	Item	785	1	1	200000				1			1		每日1元礼包	
11	1	Item	785	1	1	200000				1			1		每日1元礼包	
12	1	Item	785	1	1	200000				1			1		每日1元礼包	
13	1	Item	785	1	1	200000				1			1		每日1元礼包	
14	1	Item	785	1	1	200000				1			1		每日1元礼包	
15	1	Item	785	1	1	200000				1			1		每日1元礼包	
16	1	Item	785	1	1	200000				1			1		每日1元礼包	
17	1	Item	785	1	1	200000				1			1		每日1元礼包	
18	1	Item	785	1	1	200000				1			1		每日1元礼包	
19	1	Item	785	1	1	200000				1			1		每日1元礼包	
20	1	Item	785	1	1	200000				1			1		每日1元礼包	
1	1	Contrib		500	500	200000				1			1		每日1元礼包	
2	1	Contrib		500	500	200000				1			1		每日1元礼包	
3	1	Contrib		500	500	200000				1			1		每日1元礼包	
4	1	Contrib		500	500	200000				1			1		每日1元礼包	
5	1	Contrib		500	500	200000				1			1		每日1元礼包	
6	1	Contrib		500	500	200000				1			1		每日1元礼包	
7	1	Contrib		500	500	200000				1			1		每日1元礼包	
8	1	Contrib		500	500	200000				1			1		每日1元礼包	
9	1	Contrib		500	500	200000				1			1		每日1元礼包	
10	1	Contrib		500	500	200000				1			1		每日1元礼包	
11	1	Contrib		500	500	200000				1			1		每日1元礼包	
12	1	Contrib		500	500	200000				1			1		每日1元礼包	
13	1	Contrib		500	500	200000				1			1		每日1元礼包	
14	1	Contrib		500	500	200000				1			1		每日1元礼包	
15	1	Contrib		500	500	200000				1			1		每日1元礼包	
16	1	Contrib		500	500	200000				1			1		每日1元礼包	
17	1	Contrib		500	500	200000				1			1		每日1元礼包	
18	1	Contrib		500	500	200000				1			1		每日1元礼包	
19	1	Contrib		500	500	200000				1			1		每日1元礼包	
20	1	Contrib		500	500	200000				1			1		每日1元礼包	
1	1	Item	1929	2	2	200000				1			1		每日1元礼包	
2	1	Item	1929	2	2	200000				1			1		每日1元礼包	
3	1	Item	1929	2	2	200000				1			1		每日1元礼包	
4	1	Item	1929	2	2	200000				1			1		每日1元礼包	
5	1	Item	1929	2	2	200000				1			1		每日1元礼包	
6	1	Item	1929	2	2	200000				1			1		每日1元礼包	
7	1	Item	1929	2	2	200000				1			1		每日1元礼包	
8	1	Item	1929	2	2	200000				1			1		每日1元礼包	
9	1	Item	1929	2	2	200000				1			1		每日1元礼包	
10	1	Item	1929	2	2	200000				1			1		每日1元礼包	
11	1	Item	1929	2	2	200000				1			1		每日1元礼包	
12	1	Item	1929	2	2	200000				1			1		每日1元礼包	
13	1	Item	1929	2	2	200000				1			1		每日1元礼包	
14	1	Item	1929	2	2	200000				1			1		每日1元礼包	
15	1	Item	1929	2	2	200000				1			1		每日1元礼包	
16	1	Item	1929	2	2	200000				1			1		每日1元礼包	
17	1	Item	1929	2	2	200000				1			1		每日1元礼包	
18	1	Item	1929	2	2	200000				1			1		每日1元礼包	
19	1	Item	1929	2	2	200000				1			1		每日1元礼包	
