Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	114011	1				1			1		2592000
2	Item	114021	1				1			1		2592000
3	Item	114031	1				1			1		2592000
4	Item	114041	1				1			1		2592000
5	Item	114051	1				1			1		2592000
6	Item	114061	1				1			1		2592000
7	Item	114071	1				1			1		2592000
8	Item	114081	1				1			1		2592000
9	Item	114091	1				1			1		2592000
10	Item	114101	1				1			1		2592000
11	Item	114011	1				1			1		604800
12	Item	114021	1				1			1		604800
13	Item	114031	1				1			1		604800
14	Item	114041	1				1			1		604800
15	Item	114051	1				1			1		604800
16	Item	114061	1				1			1		604800
17	Item	114071	1				1			1		604800
18	Item	114081	1				1			1		604800
19	Item	114091	1				1			1		604800
20	Item	114101	1				1			1		604800
