Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Item	785	2	2	90000			1	1					
1	1	Item	212	40	40	100000			1	1					
1	1	Item	400005	1	1	100000			1	1					
1	1	Item	30101	1	1	50000			1	1					
1	1	Item	30652	2	2	130000			1	1					
1	1	Item	30373	2	2	100000			1	1					
1	1	Item	2438	1	1	80000			1	1					
1	1	Item	888	2	2	100000			1	1					
1	1	Item	30516	1	1	30000			1	1					
1	1	Item	30517	1	1	10000			1	1					
1	1	Item	30895	1	1	10000			1	1					
1	1	Item	30898	1	1	80000			1	1					
1	1	Item	30899	1	1	30000			1	1					
1	1	Item	30900	1	1	80000			1	1					
1	1	Item	30901	1	1	10000			1	1					
