Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut		Desc	ChangeTradeLimitByMonthCard
1	Gold		50				1			1					
2	Gold		75				1			1					
3	Gold		100				1			1					
4	Item	30373	1				1			1					
4	Gold		75				1			1					
5	Item	30373	1				1			1					
5	Gold		50				1			1					
6	Item	103024	1				1			1					1
6	Gold		50				1			1					
7	Item	103033	1				1			1					1
7	Gold		100				1			1					
8	Item	203045	1				1			1					1
8	Gold		100				1			1					
9	Item	103043	1				1			1					1
9	Gold		100				1			1					
10	Item	203055	1				1			1					1
10	Gold		100				1			1					
11	Item	103053	1				1			1					1
11	Gold		100				1			1					
12	Item	203065	1				1			1					1
12	Gold		100				1			1					
13	Item	103063	1				1			1					1
13	Gold		100				1			1					
14	Item	104063	1				1			1					1
14	Gold		100				1			1					
15	Item	203075	1				1			1					1
15	Gold		100				1			1					
16	Item	103073	1				1			1					1
16	Gold		100				1			1					
17	Item	104073	1				1			1					1
17	Gold		100				1			1					
18	Item	203085	1				1			1					1
18	Gold		100				1			1					
19	Item	103083	1				1			1					1
19	Gold		100				1			1					
20	Item	104083	1				1			1					1
20	Gold		100				1			1					
21	Item	110083	1				1			1					1
21	Gold		100				1			1					
22	Item	203095	1				1			1					1
22	Gold		100				1			1					
23	Item	103093	1				1			1					1
23	Gold		100				1			1					
24	Item	104093	1				1			1					1
24	Gold		100				1			1					
25	Item	110093	1				1			1					1
25	Gold		100				1			1					
26	Item	203105	1				1			1					1
26	Gold		100				1			1					
27	Item	103103	1				1			1					1
27	Gold		100				1			1					
28	Item	104103	1				1			1					1
28	Gold		100				1			1					
29	Item	110103	1				1			1					1
29	Gold		100				1			1					
30	Item	40530	2				1			1					
30	Gold		75				1			1					
31	Item	40530	3				1			1					
31	Gold		75				1			1					
32	Item	40531	1				1			1					
32	Gold		75				1			1					
33	Item	40531	1				1			1					
33	Gold		100				1			1					
34	Item	40531	2				1			1					
34	Gold		100				1			1					
35	Item	303065	3				1			1					
35	Gold		50				1			1					
35	Item	30373	1				1			1					
36	Item	303065	3				1			1					
36	Gold		75				1			1					
37	Item	303065	4				1			1					
37	Gold		100				1			1					
38	Item	303075	1				1			1					
38	Gold		50				1			1					
39	Item	303075	3				1			1					
39	Gold		100				1			1					
40	Item	303075	4				1			1					
40	Gold		100				1			1					
41	Item	303085	1				1			1					
41	Gold		75				1			1					
42	Item	303085	2				1			1					
42	Gold		75				1			1					
43	Item	303085	2				1			1					
43	Gold		100				1			1					
44	Item	303095	2				1			1					
44	Gold		100				1			1					
45	Item	303105	2				1			1					
45	Gold		100				1			1					
46	Item	40531	2				1			1					
46	Gold		75				1			1					
47	Gold		100				1			1					
47	Item	30928	1				1			1					
