Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	Desc
1	1	Gold		50	50	50000			1	1						
1	1	Coin		2000	2000	300000			1	1						
1	1	Item	212	10	10	300000			1	1						
1	1	Item	602	5	5	300000			1	1						
1	1	Item	231	5	5	50000			1	1						
2	1	Gold		100	100	100000			1	1						
2	1	Coin		20000	20000	250000			1	1						
2	1	Item	212	20	20	250000			1	1						
2	1	Item	602	20	20	250000			1	1						
2	1	Item	231	5	5	100000			1	1						
2	1	Item	30101	1	1	50000			1	1						
3	1	Gold		200	200	250000			1	1						
3	1	Item	212	80	80	250000			1	1						
3	1	Item	231	20	20	100000			1	1						
3	1	Item	30101	3	3	100000			1	1						
3	1	Item	1969	10	10	70000			1	1						
3	1	Item	2438	1	1	200000			1	1						
3	1	Item	2431	1	1	10000			1	1						
3	1	Item	30895	1	1	20000			1	1						
3	2	Item	30995	1	1	1000000			1	1						
