Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	1	Coin		888	888	300000			1	1					
1	1	Item	212	1	1	330000			1	1					
1	1	Item	888	1	1	40000			1	1					
1	1	Item	602	1	1	270000			1	1					
1	1	Item	30373	1	1	38000			1	1					
1	1	Item	30037	1	1	20000			1	1	1				
1	1	Item	1393	1	1	1000			1	1	1				
1	1	Item	1394	1	1	1000			1	1	1				
2	1	Coin		888	888	300000			1	1					
2	1	Item	212	1	1	330000			1	1					
2	1	Item	888	1	1	40000			1	1					
2	1	Item	602	1	1	270000			1	1					
2	1	Item	30373	1	1	38900			1	1					
2	1	Item	30037	1	1	20000			1	1					
2	1	Item	1393	1	1	1000			1	1	1				
2	1	Item	1394	1	1	100			1	1	1				
3	1	Coin		999	999	368900			1	1					
3	1	Item	212	1	1	290000			1	1					
3	1	Item	602	1	1	290000			1	1					
3	1	Item	888	1	1	45000			1	1					
3	1	Item	1393	1	1	1000			1	1					
3	1	Item	1394	1	1	100			1	1	1				
3	1	Item	30101	1	1	5000			1	1					
4	1	Coin		1999	1999	339500			1	1					
4	1	Item	212	4	4	290000			1	1					
4	1	Item	602	4	4	290000			1	1					
4	1	Item	888	2	2	50000			1	1					
4	1	Item	1393	1	1	5000			1	1					
4	1	Item	1394	1	1	500			1	1	1				
4	1	Item	30101	1	1	25000			1	1					
5	1	Coin		2000	2000	310000			1	1					
5	1	Item	212	1	1	259500			1	1					
5	1	Item	888	1	1	40000			1	1					
5	1	Item	602	1	1	300000			1	1					
5	1	Item	30373	1	1	30000			1	1					
5	1	Item	30037	1	1	20000			1	1					
5	1	Item	30038	1	1	20000			1	1					
5	1	Item	30354	1	1	20000			1	1					
5	1	Item	30895	1	1	500			1	1	1				
