Key	AwardType	AwardSubType	Count	TimeFrameMin	TimeFrameMax	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips
2	Item	212	20				1			1	
4	Item	30037	10				1			1	
6	Gold		200				1			1	
8	Item	30067	15				1			1	
10	Item	1968	6				1			1	
12	Item	212	50				1			1	
14	Item	30652	2				1			1	
16	Coin		100000				1			1	
18	Item	231	20				1			1	
20	Item	30101	5				1			1	
22	Item	212	50				1			1	
24	Item	30652	2				1			1	
26	Coin		100000				1			1	
28	Item	231	20				1			1	
30	Item	30101	5				1			1	
32	Item	212	50				1			1	
34	Item	30652	2				1			1	
36	Coin		100000				1			1	
38	Item	231	20				1			1	
40	Item	30101	5				1			1	
42	Item	212	50				1			1	
44	Item	30652	2				1			1	
46	Coin		100000				1			1	
48	Item	231	20				1			1	
50	Item	30101	5				1			1	
52	Item	212	50				1			1	
54	Item	30652	2				1			1	
56	Coin		100000				1			1	
58	Item	231	20				1			1	
60	Item	30101	5				1			1	
62	Item	212	50				1			1	
64	Item	30652	2				1			1	
66	Coin		100000				1			1	
68	Item	231	20				1			1	
70	Item	30101	5				1			1	
72	Item	212	50				1			1	
74	Item	30652	2				1			1	
76	Coin		100000				1			1	
78	Item	231	20				1			1	
80	Item	30101	5				1			1	
82	Item	212	50				1			1	
84	Item	30652	2				1			1	
86	Coin		100000				1			1	
88	Item	231	20				1			1	
90	Item	30101	5				1			1	
92	Item	212	50				1			1	
94	Item	30652	2				1			1	
96	Coin		100000				1			1	
98	Item	231	20				1			1	
100	Item	30101	5				1			1	
