Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	212	20				1			1		
1	Coin		2000				1			1		
1	Gold		120				1			1		
1	Contrib		600				1			1		
2	Item	212	100				1			1		
2	Coin		15000				1			1		
2	Gold		600				1			1		
2	Contrib		3600				1			1		
3	Item	212	200				1			1		
3	Coin		20000				1			1		
3	Gold		1000				1			1		
3	Contrib		6000				1			1		
4	Item	30516	2				1			1		
4	Item	212	300				1			1		
4	Coin		30000				1			1		
4	Gold		1500				1			1		
4	Contrib		9000				1			1		
5	Item	30517	2				1			1		
5	Item	212	600				1			1		
5	Coin		120000				1			1		
5	Gold		3500				1			1		
5	Contrib		28000				1			1		
6	Item	30517	3				1			1		
6	Item	212	800				1			1		
6	Coin		180000				1			1		
6	Gold		8800				1			1		
6	Contrib		50000				1			1		
