Key	AwardType	AwardSubType	Count	TimeFrameMin	TimeFrameMax	IsAdd2Auction
1	Item	232	10	OpenLevel39		0
1	Item	212	30	OpenLevel39		0
2	Item	232	10	OpenLevel39		0
2	Item	212	40	OpenLevel39		0
2	Item	30516	1	OpenLevel39		0
3	Item	232	10	OpenLevel39		0
3	Item	212	50	OpenLevel39		0
3	Item	30516	1	OpenLevel39		0
4	Item	232	10	OpenLevel39		0
4	Item	212	60	OpenLevel39		0
4	Item	30516	1	OpenLevel39		0
4	Item	30517	1	OpenLevel39		0
5	Item	232	20	OpenLevel39		0
5	Item	30516	2	OpenLevel39		0
5	Item	30517	1	OpenLevel39		0
6	Item	232	40	OpenLevel39		0
6	Item	30516	2	OpenLevel39		0
6	Item	30517	2	OpenLevel39		0
16	Item	232	50	OpenLevel39		0
15	Item	232	80	OpenLevel39		0
14	Item	232	100	OpenLevel39		0
13	Item	232	150	OpenLevel39		0
12	Item	232	150	OpenLevel39		0
12	Item	30517	1	OpenLevel39		0
12	Item	30995	1	OpenLevel39		0
12	Item	846	1	OpenLevel39		0
12	Title	274	2592000	OpenLevel39		0
11	Item	232	150	OpenLevel39		0
11	Item	30517	2	OpenLevel39		0
11	Item	30995	2	OpenLevel39		0
11	Item	845	1	OpenLevel39		0
11	Title	275	2592000	OpenLevel39		0
