Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	Item	1334	2			1	1					
1	Item	786	2			1	1					
1	Item	785	2			1	1					
2	Item	2164	1			1	1					
2	Item	1335	1			1	1					
2	Item	20011	5			1	1					
3	Item	20164	1			1	1					
3	Item	2165	1			1	1					
3	Item	20011	5			1	1					
4	Item	20163	1			1	1					
4	Item	2165	2			1	1					
4	Item	20011	10			1	1					
5	Gold		150			1	1					
5	Item	786	5			1	1					
5	Item	785	5			1	1					
6	Gold		300			1	1					
6	Item	2164	1			1	1					
6	Item	1969	5			1	1					
7	Gold		1000			1	1					
7	Item	2164	3			1	1					
7	Item	1335	5			1	1					
8	Gold		3000			1	1					
8	Item	1256	6			1	1					
8	Item	2164	5			1	1					
9	Gold		5000			1	1					
9	Item	1256	8			1	1					
9	Item	20581	1			1	1					
10	Gold		8888			1	1					
10	Item	20581	2			1	1					
10	Item	20174	1			1	1					
11	Gold		180			1	1					
11	Coin		18000			1	1					
11	Item	785	5			1	1					
12	Gold		680			1	1					
12	Coin		68000			1	1					
12	Item	2164	1			1	1					
13	Gold		1680			1	1					
13	Coin		168000			1	1					
13	Item	2165	1			1	1					
14	Gold		2280			1	1					
14	Item	1256	3			1	1					
14	Item	20443	1			1	1					
15	Gold		180			1	1					
15	Coin		8000			1	1					
15	Item	212	20			1	1					
16	Gold		1000			1	1					
16	Coin		18000			1	1					
16	Contrib		2000			1	1					
16	Item	212	100			1	1					
17	Gold		1500			1	1					
17	Coin		22000			1	1					
17	Contrib		4000			1	1					
17	Item	212	150			1	1					
17	Item	30516	1			1	1					
18	Gold		3000			1	1					
18	Coin		50000			1	1					
18	Contrib		10000			1	1					
18	Item	212	300			1	1					
18	Item	30516	2			1	1					
19	Gold		5000			1	1					
19	Coin		100000			1	1					
19	Contrib		15000			1	1					
19	Item	212	500			1	1					
19	Item	30517	2			1	1					
20	Gold		10000			1	1					
20	Coin		200000			1	1					
20	Contrib		20000			1	1					
20	Item	212	800			1	1					
20	Item	30517	4			1	1					
21	Gold		50			1	1					
21	Item	212	10			1	1					
