Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
100	Item	888	6				1			1		
100	Item	212	10				1			1		
1	Coin		30000				1			1		
1	Item	212	20				1			1		
2	Item	30339	4				1			1		
2	Item	602	36				1			1		
2	Item	1968	2				1			1		
3	Item	1393	1				1			1		
3	Item	212	10				1			1		
3	Gold		100				1			1		
4	Contrib		4000				1			1		
4	Coin		20000				1			1		
4	Item	1969	5				1			1		
4	Item	2438	2				1			1		
5	Item	802	3				1			1		
5	Item	212	20				1			1		
5	Item	788	20				1			1		
5	Item	1968	4				1			1		
6	Contrib		10000				1			1		
6	Item	1393	2				1			1		
6	Item	212	20				1			1		
6	Item	602	10				1			1		
6	Item	1968	3				1			1		
7	Item	2431	1				1			1		
7	Item	802	10				1			1		
7	Item	212	40				1			1		
7	Coin		50000				1			1		
7	Item	1969	3				1			1		
8	Item	2431	2				1			1		
8	Item	1394	1				1			1		
8	Item	789	10				1			1		
8	Item	212	40				1			1		
8	Item	30342	8				1			1		
9	Item	40322	1				1			1		
9	Coin		40000				1			1		
9	Item	602	20				1			1		
9	Item	1968	10				1			1		
9	Item	1969	20				1			1		
10	Contrib		20000				1			1		
10	Item	2431	2				1			1		
10	Item	1394	1				1			1		
10	Item	1393	4				1			1		
10	Item	212	20				1			1		
11	Coin		50000				1			1		
11	Item	789	30				1			1		
11	Item	1394	1				1			1		
11	Item	1969	20				1			1		
11	Item	212	100				1			1		
12	Contrib		30000				1			1		
12	Item	2431	2				1			1		
12	Item	1394	2				1			1		
12	Item	30342	15				1			1		
12	Item	1968	20				1			1		
13	Contrib		30000				1			1		
13	Item	2431	2				1			1		
13	Item	212	50				1			1		
13	Gold		2400				1			1		
13	Coin		50000				1			1		
14	Item	30343	4				1			1		
14	Item	1395	1				1			1		
14	Item	212	100				1			1		
14	Item	790	10				1			1		
14	Item	602	20				1			1		
15	Item	30343	6				1			1		
15	Item	1395	1				1			1		
15	Item	212	100				1			1		
15	Item	2431	3				1			1		
15	Item	1968	40				1			1		
16	Item	30343	8				1			1		
16	Item	1395	2				1			1		
16	Item	790	20				1			1		
16	Item	2433	1				1			1		
16	Item	1968	50				1			1		
17	Item	1395	2				1			1		
17	Item	1396	2				1			1		
17	Contrib		80000				1			1		
17	Coin		80000				1			1		
17	Item	1969	40				1			1		
18	Item	212	200				1			1		
18	Item	1396	2				1			1		
18	Item	2433	2				1			1		
18	Item	603	10				1			1		
18	Item	1969	20				1			1		
