AwardType	Level	AwardId	BetTypeKey1	BetTypeKey2	BetTypeKey3
1	1	1094	1	7	13
1	2	1094	2	8	14
1	3	1094	3	9	15
1	4	1094	4	10	16
1	5	1094	5	11	17
1	6	1094	6	12	18
2	1	1095	1	7	13
2	2	1095	2	8	14
2	3	1095	3	9	15
2	4	1095	4	10	16
2	5	1095	5	11	17
2	6	1095	6	12	18
3	1	1096	1	7	13
3	2	1096	2	8	14
3	3	1096	3	9	15
3	4	1096	4	10	16
3	5	1096	5	11	17
3	6	1096	6	12	18
4	1	1097	1	7	13
4	2	1097	2	8	14
4	3	1097	3	9	15
4	4	1097	4	10	16
4	5	1097	5	11	17
4	6	1097	6	12	18
5	1	1098	1	2	3
6	1	1100	1	7	13
6	2	1100	2	8	14
6	3	1100	3	9	15
6	4	1100	4	10	16
6	5	1100	5	11	17
6	6	1100	6	12	18
