nScore	szTimeFrameStart	szTimeFrameEnd	nAwardKey
70	OpenLevel39	OpenLevel49	1
70	OpenLevel49	OpenLevel69	4
70	OpenLevel69	OpenLevel79	7
70	OpenLevel79	OpenLevel99	10
70	OpenLevel99	OpenLevel109	13
70	OpenLevel109	OpenLevel119	16
70	OpenLevel119	OpenLevel129	82
70	OpenLevel129	OpenLevel159	43
70	OpenLevel159	OpenLevel189	46
70	OpenLevel189	OpenLevel219	49
70	OpenLevel219	OpenLevel249	88
70	OpenLevel249	OpenLevel279	91
70	OpenLevel279		94
50	OpenLevel39	OpenLevel49	2
50	OpenLevel49	OpenLevel69	5
50	OpenLevel69	OpenLevel79	8
50	OpenLevel79	OpenLevel99	11
50	OpenLevel99	OpenLevel109	14
50	OpenLevel109	OpenLevel119	17
50	OpenLevel119	OpenLevel129	83
50	OpenLevel129	OpenLevel159	44
50	OpenLevel159	OpenLevel189	47
50	OpenLevel189	OpenLevel219	50
50	OpenLevel219	OpenLevel249	89
50	OpenLevel249	OpenLevel279	92
50	OpenLevel279		95
30	OpenLevel39	OpenLevel49	3
30	OpenLevel49	OpenLevel69	6
30	OpenLevel69	OpenLevel79	9
30	OpenLevel79	OpenLevel99	12
30	OpenLevel99	OpenLevel109	15
30	OpenLevel109	OpenLevel119	18
30	OpenLevel119	OpenLevel129	84
30	OpenLevel129	OpenLevel159	45
30	OpenLevel159	OpenLevel189	48
30	OpenLevel189	OpenLevel219	51
30	OpenLevel219	OpenLevel249	90
30	OpenLevel249	OpenLevel279	93
30	OpenLevel279		96
