nScore	szTimeFrameStart	szTimeFrameEnd	nAwardKey
70	OpenLevel69	OpenLevel89	33
70	OpenLevel89	OpenLevel99	36
70	OpenLevel99	OpenLevel109	39
70	OpenLevel109	OpenLevel129	42
70	OpenLevel129	OpenLevel149	70
70	OpenLevel149	OpenLevel159	73
70	OpenLevel159	OpenLevel189	76
70	OpenLevel189	OpenLevel209	79
70	OpenLevel209	OpenLevel219	115
70	OpenLevel219	OpenLevel229	118
70	OpenLevel229	OpenLevel249	121
70	OpenLevel249	OpenLevel269	124
70	OpenLevel269	OpenLevel279	127
70	OpenLevel279	OpenLevel289	130
70	OpenLevel289		133
50	OpenLevel69	OpenLevel89	32
50	OpenLevel89	OpenLevel99	35
50	OpenLevel99	OpenLevel109	38
50	OpenLevel109	OpenLevel129	41
50	OpenLevel129	OpenLevel149	71
50	OpenLevel149	OpenLevel159	74
50	OpenLevel159	OpenLevel189	77
50	OpenLevel189	OpenLevel209	80
50	OpenLevel209	OpenLevel219	116
50	OpenLevel219	OpenLevel229	119
50	OpenLevel229	OpenLevel249	122
50	OpenLevel249	OpenLevel269	125
50	OpenLevel269	OpenLevel279	128
50	OpenLevel279	OpenLevel289	131
50	OpenLevel289		134
30	OpenLevel69	OpenLevel89	31
30	OpenLevel89	OpenLevel99	34
30	OpenLevel99	OpenLevel109	37
30	OpenLevel109	OpenLevel129	40
30	OpenLevel129	OpenLevel149	72
30	OpenLevel149	OpenLevel159	75
30	OpenLevel159	OpenLevel189	78
30	OpenLevel189	OpenLevel209	81
30	OpenLevel209	OpenLevel219	117
30	OpenLevel219	OpenLevel229	120
30	OpenLevel229	OpenLevel249	123
30	OpenLevel249	OpenLevel269	126
30	OpenLevel269	OpenLevel279	129
30	OpenLevel279	OpenLevel289	132
30	OpenLevel289		135
