nBlessingId	szBlessingName	szBlessingType	szDesc	szToDo
12	<i18n=40194>	<i18n=40185>	<i18n=40277>	<i18n=45449>
13	<i18n=40182>	<i18n=40185>	<i18n=40212>	<i18n=45453>
14	<i18n=40173>	<i18n=40185>	<i18n=40317>	<i18n=45466>
15	<i18n=40235>	<i18n=40185>	<i18n=40156>	<i18n=45448>
21	<i18n=40319>	<i18n=40185>	<i18n=40227>	<i18n=45425>
23	<i18n=40153>	<i18n=40185>	<i18n=40160>	<i18n=45475>
24	<i18n=40331>	<i18n=40185>	<i18n=40183>	<i18n=45422>
25	<i18n=40200>	<i18n=40185>	<i18n=40324>	<i18n=45444>
31	<i18n=40313>	<i18n=40185>	<i18n=40154>	<i18n=45442>
32	<i18n=40283>	<i18n=40185>	<i18n=40252>	<i18n=45421>
34	<i18n=40218>	<i18n=40185>	<i18n=40257>	<i18n=45399>
35	<i18n=40286>	<i18n=40185>	<i18n=40240>	<i18n=45462>
41	<i18n=40161>	<i18n=40185>	<i18n=40207>	<i18n=45473>
42	<i18n=40254>	<i18n=40185>	<i18n=40147>	<i18n=45409>
43	<i18n=40211>	<i18n=40185>	<i18n=40279>	<i18n=45436>
45	<i18n=40347>	<i18n=40185>	<i18n=40234>	<i18n=45408>
51	<i18n=40335>	<i18n=40185>	<i18n=40272>	<i18n=45476>
52	<i18n=40315>	<i18n=40185>	<i18n=40241>	<i18n=45416>
53	<i18n=40350>	<i18n=40185>	<i18n=40316>	<i18n=45445>
54	<i18n=40199>	<i18n=40185>	<i18n=40323>	<i18n=45434>
112	<i18n=40308>	<i18n=40244>	<i18n=40345>	<i18n=45454>
113	<i18n=40216>	<i18n=40244>	<i18n=40311>	<i18n=45471>
114	<i18n=40196>	<i18n=40244>	<i18n=40219>	<i18n=45446>
115	<i18n=40337>	<i18n=40244>	<i18n=40192>	<i18n=45402>
221	<i18n=40157>	<i18n=40244>	<i18n=40287>	<i18n=45412>
223	<i18n=40179>	<i18n=40244>	<i18n=40278>	<i18n=45384>
224	<i18n=40285>	<i18n=40244>	<i18n=40340>	<i18n=45433>
225	<i18n=40149>	<i18n=40244>	<i18n=40202>	<i18n=45459>
331	<i18n=40266>	<i18n=40244>	<i18n=40329>	<i18n=45406>
332	<i18n=40248>	<i18n=40244>	<i18n=40186>	<i18n=45392>
334	<i18n=40264>	<i18n=40244>	<i18n=40300>	<i18n=45451>
335	<i18n=40310>	<i18n=40244>	<i18n=40174>	<i18n=45474>
441	<i18n=40328>	<i18n=40244>	<i18n=40151>	<i18n=45396>
442	<i18n=40159>	<i18n=40244>	<i18n=40166>	<i18n=45424>
443	<i18n=40221>	<i18n=40244>	<i18n=40342>	<i18n=45413>
445	<i18n=40267>	<i18n=40244>	<i18n=40148>	<i18n=45461>
551	<i18n=40288>	<i18n=40244>	<i18n=40181>	<i18n=45463>
552	<i18n=40197>	<i18n=40244>	<i18n=40168>	<i18n=45431>
553	<i18n=40146>	<i18n=40244>	<i18n=40307>	<i18n=45452>
554	<i18n=40233>	<i18n=40244>	<i18n=40312>	<i18n=45465>
1112	<i18n=40169>	<i18n=40171>	<i18n=40162>	<i18n=45455>
1113	<i18n=40330>	<i18n=40171>	<i18n=40150>	<i18n=45467>
1114	<i18n=40258>	<i18n=40171>	<i18n=40332>	<i18n=45469>
1115	<i18n=40187>	<i18n=40171>	<i18n=40230>	<i18n=45447>
2221	<i18n=40144>	<i18n=40171>	<i18n=40251>	<i18n=45417>
2223	<i18n=40282>	<i18n=40171>	<i18n=40314>	<i18n=45439>
2224	<i18n=40301>	<i18n=40171>	<i18n=40306>	<i18n=45438>
2225	<i18n=40333>	<i18n=40171>	<i18n=40180>	<i18n=45456>
3331	<i18n=40322>	<i18n=40171>	<i18n=40189>	<i18n=45388>
3332	<i18n=40209>	<i18n=40171>	<i18n=40158>	<i18n=45428>
3334	<i18n=40152>	<i18n=40171>	<i18n=40302>	<i18n=45441>
3335	<i18n=40193>	<i18n=40171>	<i18n=40281>	<i18n=45398>
4441	<i18n=40265>	<i18n=40171>	<i18n=40246>	<i18n=45470>
4442	<i18n=40262>	<i18n=40171>	<i18n=40263>	<i18n=45418>
4443	<i18n=40205>	<i18n=40171>	<i18n=40229>	<i18n=45419>
4445	<i18n=40238>	<i18n=40171>	<i18n=40170>	<i18n=45426>
5551	<i18n=40336>	<i18n=40171>	<i18n=40341>	<i18n=45394>
5552	<i18n=40245>	<i18n=40171>	<i18n=40339>	<i18n=45437>
5553	<i18n=40198>	<i18n=40171>	<i18n=40284>	<i18n=45427>
5554	<i18n=40294>	<i18n=40171>	<i18n=40145>	<i18n=45479>
11112	<i18n=40289>	<i18n=40242>	<i18n=40261>	<i18n=45420>
11113	<i18n=40349>	<i18n=40242>	<i18n=40220>	<i18n=45407>
11114	<i18n=40155>	<i18n=40242>	<i18n=40338>	<i18n=45405>
11115	<i18n=40268>	<i18n=40242>	<i18n=40217>	<i18n=45450>
22221	<i18n=40299>	<i18n=40242>	<i18n=40291>	<i18n=45395>
22223	<i18n=40184>	<i18n=40242>	<i18n=40222>	<i18n=45387>
22224	<i18n=40228>	<i18n=40242>	<i18n=40259>	<i18n=45414>
22225	<i18n=40167>	<i18n=40242>	<i18n=40273>	<i18n=45401>
33331	<i18n=40214>	<i18n=40242>	<i18n=40281>	<i18n=45443>
33332	<i18n=40320>	<i18n=40242>	<i18n=40271>	<i18n=45390>
33334	<i18n=40163>	<i18n=40242>	<i18n=40276>	<i18n=45472>
33335	<i18n=40303>	<i18n=40242>	<i18n=40237>	<i18n=45397>
44441	<i18n=40239>	<i18n=40242>	<i18n=40344>	<i18n=45411>
