ID	Talk1	Time1	Talk2	Time2	Talk3	Time3	Talk4	Time4	Talk5	Time5	Talk6	Time6	Talk7	Time7	Talk8	Time8	Talk9	Time9	Talk10	Time10
1	<i18n=4005>	3	<i18n=1930>	3	<i18n=14025>	3	<i18n=11611>	3												
2	<i18n=880>	3	<i18n=1054>	3	<i18n=1930>	3														
3	<i18n=6889>	3	<i18n=10127>	3	<i18n=5636>	3														
4	<i18n=12783>	3	<i18n=8364>	3	<i18n=9865>	3														
5	<i18n=1469>	3	<i18n=5324>	3	<i18n=7874>	3														
6	<i18n=7091>	3	<i18n=10851>	3	<i18n=7853>	3														
7	<i18n=11386>	3	<i18n=1610>	3	<i18n=15148>	3														
8	<i18n=10250>	3	<i18n=10572>	3	<i18n=7588>	3														
9	<i18n=8045>	3	<i18n=5313>	3	<i18n=8165>	3														
10	<i18n=13612>	3	<i18n=15478>	3	<i18n=13738>	3	<i18n=8443>	3												
11	<i18n=354>	3																		
12	<i18n=1554>	3	<i18n=15478>	3	<i18n=8443>	3														
13	<i18n=7483>	3	<i18n=4564>	3																
101012	<i18n=2715>	3																		
101051	<i18n=8290>	3																		
101022	<i18n=8418>	3																		
101071	<i18n=11196>	3																		
101092	<i18n=8664>	10																		
101121	<i18n=11374>	3																		
103022	<i18n=13803>	4																		
103031	<i18n=5478>	4																		
103041	<i18n=13622>	4																		
103051	<i18n=6413>	4																		
103061	<i18n=9107>	4																		
103071	<i18n=1762>	4																		
103081	<i18n=206>	4																		
103091	<i18n=15051>	4																		
103101	<i18n=11801>	4																		
103111	<i18n=8156>	4																		
103373	<i18n=16242>	4																		
103392	<i18n=6192>	4																		
103403	<i18n=984>	5																		
