nId	nLevelMin	nLevelMax	szTimeBegin	szTimeEnd	tbAwardInfo
1					Exp|0
2					Item|30037
2				OpenLevel99	Item|501
2					Item|901
2					Exp|0
2					Coin|0
2			OpenLevel99		Item|671601
3					Coin|0
3					TongFund|0
3					Item|209
3					Item|5002
3			OpenLevel129		Item|3008
3			OpenLevel129		Item|3009
4			OpenLevel59		Item|324
4				OpenLevel59	Item|912
4			OpenLevel49	OpenLevel69	Item|913
4			OpenLevel59	OpenLevel79	Item|914
4			OpenLevel69	OpenLevel89	Item|915
4			OpenLevel79	OpenLevel99	Item|916
4			OpenLevel89	OpenLevel109	Item|917
4			OpenLevel99	OpenLevel129	Item|905
4			OpenLevel109	OpenLevel149	Item|906
4			OpenLevel129	OpenLevel169	Item|918
4			OpenLevel149	OpenLevel189	Item|919
4			OpenLevel169	OpenLevel209	Item|920
4			OpenLevel189	OpenLevel229	Item|907
4			OpenLevel209	OpenLevel249	Item|923
4			OpenLevel229	OpenLevel269	Item|924
4			OpenLevel249	OpenLevel289	Item|925
4			OpenLevel269		Item|926
4			OpenLevel289		Item|927
4					Item|31402
4				OpenLevel79	Item|31432
4				OpenLevel69	Item|31412
4			OpenLevel89	OpenLevel109	Item|33000
4			OpenLevel109	OpenLevel129	Item|33001
4			OpenLevel129	OpenLevel149	Item|33002
4			OpenLevel149	OpenLevel169	Item|33003
4			OpenLevel169	OpenLevel189	Item|33004
4			OpenLevel189	OpenLevel209	Item|33005
4			OpenLevel209	OpenLevel229	Item|33006
4			OpenLevel229	OpenLevel249	Item|33007
4			OpenLevel249	OpenLevel269	Item|33008
4			OpenLevel269	OpenLevel289	Item|33009
4			OpenLevel289		Item|32999
4				OpenLevel79	Item|2013
4			OpenLevel59	OpenLevel79	Item|338
4			OpenLevel69	OpenLevel89	Item|339
4			OpenLevel79	OpenLevel99	Item|340
4			OpenLevel89	OpenLevel109	Item|341
4			OpenLevel99	OpenLevel119	Item|342
4			OpenLevel109	OpenLevel129	Item|343
4			OpenLevel119	OpenLevel139	Item|344
4			OpenLevel129	OpenLevel149	Item|3537
4			OpenLevel139	OpenLevel159	Item|3538
4			OpenLevel149	OpenLevel169	Item|3539
4			OpenLevel159	OpenLevel179	Item|3540
4			OpenLevel169	OpenLevel189	Item|3541
4			OpenLevel179	OpenLevel199	Item|3542
4			OpenLevel189	OpenLevel209	Item|3543
4			OpenLevel199	OpenLevel219	Item|3544
4			OpenLevel209	OpenLevel229	Item|3619
4			OpenLevel219	OpenLevel239	Item|3620
4			OpenLevel229	OpenLevel249	Item|3621
4			OpenLevel239	OpenLevel259	Item|3622
4			OpenLevel249	OpenLevel269	Item|3623
4			OpenLevel259	OpenLevel279	Item|3624
4			OpenLevel269	OpenLevel289	Item|3625
4			OpenLevel279	OpenLevel299	Item|3626
4			OpenLevel289		Item|3627
4			OpenLevel299		Item|3628
4			OpenLevel39	OpenLevel49	Item|8982
4			OpenLevel49	OpenLevel59	Item|8983
4			OpenLevel59	OpenLevel69	Item|8984
4			OpenLevel69	OpenLevel79	Item|8985
4			OpenLevel79	OpenLevel89	Item|8986
4			OpenLevel89	OpenLevel99	Item|8987
4			OpenLevel99	OpenLevel109	Item|8988
4			OpenLevel109	OpenLevel119	Item|8989
4			OpenLevel119	OpenLevel129	Item|8990
4			OpenLevel129	OpenLevel139	Item|671821
4			OpenLevel139	OpenLevel149	Item|671822
4			OpenLevel149	OpenLevel159	Item|671823
4			OpenLevel159	OpenLevel169	Item|671824
4			OpenLevel169	OpenLevel179	Item|671825
4			OpenLevel179	OpenLevel189	Item|671826
4			OpenLevel189	OpenLevel199	Item|671827
4			OpenLevel199	OpenLevel209	Item|671828
4			OpenLevel209	OpenLevel219	Item|673600
4			OpenLevel219	OpenLevel229	Item|673601
4			OpenLevel229	OpenLevel239	Item|673602
4			OpenLevel239	OpenLevel249	Item|673603
4			OpenLevel249	OpenLevel259	Item|673604
4			OpenLevel259	OpenLevel269	Item|673605
4			OpenLevel269	OpenLevel279	Item|673606
4			OpenLevel279	OpenLevel289	Item|673607
4			OpenLevel289	OpenLevel299	Item|673608
4			OpenLevel299		Item|673609
4			OpenLevel39	OpenLevel49	Item|8992
4			OpenLevel49	OpenLevel59	Item|8993
4			OpenLevel59	OpenLevel69	Item|8994
4			OpenLevel69	OpenLevel79	Item|8995
4			OpenLevel79	OpenLevel89	Item|8996
4			OpenLevel89	OpenLevel99	Item|8997
4			OpenLevel99	OpenLevel109	Item|8998
4			OpenLevel109	OpenLevel119	Item|8999
4			OpenLevel119	OpenLevel129	Item|9000
4			OpenLevel129	OpenLevel139	Item|671831
4			OpenLevel139	OpenLevel149	Item|671832
4			OpenLevel149	OpenLevel159	Item|671833
4			OpenLevel159	OpenLevel169	Item|671834
4			OpenLevel169	OpenLevel179	Item|671835
4			OpenLevel179	OpenLevel189	Item|671836
4			OpenLevel189	OpenLevel199	Item|671837
4			OpenLevel199	OpenLevel209	Item|671838
4			OpenLevel209	OpenLevel219	Item|673610
4			OpenLevel219	OpenLevel229	Item|673611
4			OpenLevel229	OpenLevel239	Item|673612
4			OpenLevel239	OpenLevel249	Item|673613
4			OpenLevel249	OpenLevel259	Item|673614
4			OpenLevel259	OpenLevel269	Item|673615
