TimeGroup	Start	End
1	BaiHuTangOpen	BaiHuTangClose
2	StartBoss	EndBoss
3	StartBattle	EndBattle
3	StartBattle2	EndBattle2
3	StartBattle3	EndBattle3
4	FactionBattleOpen	FactionBattleClose
5	DomainBattleOpen	DomainBattleClose
6	KinLevelOpen	KinLevelClose
7	StartBoss1	EndBoss1
8	TongChallengeOpen1	TongChallengeClose1
8	TongChallengeOpen2	TongChallengeClose2
9	TongPartyOpen	TongPartyClose
10	ZhaiXingLouOpen	ZhaiXingLouClose
10	ZhaiXingLouOpen1	ZhaiXingLouClose1
11	ShiYueDaoOpen	ShiYueDaoClose
12	MultiPvPOpen	MultiPvPClose
13	DaShiXiongAcitvityOpen	DaShiXiongAcitvityClose
15	QinShiHuangLingStart	QinShiHuangLingEndBoss
15	QinShiHuangLingStart1	QinShiHuangLingEndBoss1
16	StartHanWu	EndHanWu
17	QinShiHuangLingOpen	QinShiHuangLingClose
18	KeYiMenStart	KeYiMenClose
18	KeYiMenStart1	KeYiMenClose1
19	StartBattleKF	EndBattleKF
20	StartBattleYD	EndBattleYD
21	TieFuChengOpen	TieFuChengClose
22	MultiPvPFinalOpen	MultiPvPClose
23	StartBattleHuqi	EndBattleHuqi
23	StartBattleHuqi2	EndBattleHuqi2
24	BeginDartingForShow	FinishDartingForShow
25	GlobalShiYueDaoOpen	GlobalShiYueDaoClose
26	HanHaiMiChengOpen	HanHaiMiChengClose
27	TwoAreaBattleStartGame	TwoAreaBattleEndGame
28	StartMultiFactionFight	EndMultiFactionFight
29	GlobalDomainBattleOpen	GlobalDomainBattleClose
30	ShouWeiXiangYangOpen	ShouWeiXiangYangClose
33	XiaKeDaoOpen	XiaKeDaoClose
36	XiaKeDaoZoneOpen	XiaKeDaoZoneClose
38	FengHuoKuangMaiOpen	FengHuoKuangMaiClose
