StringKey	LevelMin	TimeFrameOpen	LimitFunc	Name	TimeGroup	Message	BeforSec	DefaultSel	IsSubSel
TongChallenge	12		NeedTong	<i18n=9377>	8	<i18n=8281>	180	1	0
TongParty	12		NeedTong	<i18n=13940>	9	<i18n=8376>	180	1	0
KinLevel	12		OpenKinLevel	<i18n=14557>	6	<i18n=12315>	180	1	0
WuLinGaoShou	12			<i18n=武林高手>	2	<i18n=7310>	180	1	0
ZhaiXingLou	20			<i18n=14857>	10	<i18n=6805>	180	1	0
DomainBattle	12	OpenLevel49	NeedTong	<i18n=13266>	5	<i18n=6066>	180	1	0
BaiHuTang	25	OpenDay1A	NeedKin	<i18n=13157>	1	<i18n=11254>	180	1	1
Battle	25	OpenDay1A		<i18n=宋金战场>	3	<i18n=1044>	180	1	1
ShiYueDao	30	OpenDay2B		<i18n=4317>	11	<i18n=312>	180	1	1
MultiPvP	40	OpenLevel59	MultiPvP	<i18n=2894>	12	<i18n=3398>	180	1	0
MenPaiJingJi	25			<i18n=11205>	4	<i18n=19460>	180	1	0
QinShiHuangLing	50	OpenLevel79		<i18n=20017>	15	<i18n=20418>	180	1	0
HanWu	50	OpenLevel59		<i18n=1808>	16	<i18n=22504>	180	1	0
KeYiMen	79	OpenLevel99		<i18n=24754>	18	<i18n=24768>	180	1	0
TieFuCheng	12	OpenLevel99	OpenTieFuCheng	<i18n=28671>	21	<i18n=29783>	180	1	0
Darting	110	OpenLevel119	NeedTong	<i18n=36670>	24	<i18n=37645>	180	1	0
GlobalShiYueDao	60	OpenLevel69		<i18n=39277>	25	<i18n=39419>	180	1	1
HanHaiMiCheng	90	OpenLevel99		<i18n=43296>	26	<i18n=43438>	180	0	1
BattleHuqi	25	OpenLevel59		<i18n=32945>	23	<i18n=34735>	180	0	1
TwoAreaBattle	12	OpenLevel99		<i18n=46909>	27	<i18n=48742>	180	1	0
MultiFactionFight	25	OpenLevel89		<i18n=56758>	28	<i18n=57471>	180	1	0
ShouWeiXiangYang	110	OpenLevel119	NeedTong	<i18n=68831>	30	<i18n=68842>	180	1	0
FengHuoKuangMai	50	OpenLevel79		<i18n=84348>	38	<i18n=85042>	180	1	0
